,Original_Tags,Tags,YearTagCount
0,"asp.net-mvc,razor",asp.net-mvc,504
1,"asp.net-mvc,razor",razor,504
2,"bash,awk",bash,732
3,"bash,awk",awk,732
4,"r,list",r,336
5,"r,list",list,336
6,"angularjs,ionic-framework",angularjs,572
7,"angularjs,ionic-framework",ionic-framework,572
8,"c#,c#-4.0",c#,312
9,"c#,c#-4.0",c#-4.0,312
10,"java,javafx",java,1263
11,"java,javafx",javafx,1263
12,"java,methods",java,343
13,"java,methods",methods,343
14,"javascript,jquery,css",javascript,3281
15,"javascript,jquery,css",jquery,3281
16,"javascript,jquery,css",css,3281
17,"css,sass",css,638
18,"css,sass",sass,638
19,"javascript,arrays,angularjs",javascript,311
20,"javascript,arrays,angularjs",arrays,311
21,"javascript,arrays,angularjs",angularjs,311
22,"vba,ms-access",vba,553
23,"vba,ms-access",ms-access,553
24,"docker,docker-compose",docker,473
25,"docker,docker-compose",docker-compose,473
26,"javascript,jquery,ruby-on-rails",javascript,311
27,"javascript,jquery,ruby-on-rails",jquery,311
28,"javascript,jquery,ruby-on-rails",ruby-on-rails,311
29,"python,matplotlib,plot",python,548
30,"python,matplotlib,plot",matplotlib,548
31,"python,matplotlib,plot",plot,548
32,"c,pointers",c,1302
33,"c,pointers",pointers,1302
34,"c#,linq",c#,5338
35,"c#,linq",linq,5338
36,"c#,winforms",c#,3897
37,"c#,winforms",winforms,3897
38,"ios,swift,firebase,firebase-realtime-database",ios,422
39,"ios,swift,firebase,firebase-realtime-database",swift,422
40,"ios,swift,firebase,firebase-realtime-database",firebase,422
41,"ios,swift,firebase,firebase-realtime-database",firebase-realtime-database,422
42,"java,servlets",java,425
43,"java,servlets",servlets,425
44,"c#,unity3d",c#,2043
45,"c#,unity3d",unity3d,2043
46,"c#,wpf,datagrid",c#,519
47,"c#,wpf,datagrid",wpf,519
48,"c#,wpf,datagrid",datagrid,519
49,"css,flexbox",css,630
50,"css,flexbox",flexbox,630
51,"html,css,image",html,548
52,"html,css,image",css,548
53,"html,css,image",image,548
54,"mysql,sql,sql-server",mysql,381
55,"mysql,sql,sql-server",sql,381
56,"mysql,sql,sql-server",sql-server,381
57,"python,regex,python-3.x",python,312
58,"python,regex,python-3.x",regex,312
59,"python,regex,python-3.x",python-3.x,312
60,"c#,sql",c#,730
61,"c#,sql",sql,730
62,"java,for-loop",java,385
63,"java,for-loop",for-loop,385
64,"json,go",json,321
65,"json,go",go,321
66,"python,google-app-engine",python,449
67,"python,google-app-engine",google-app-engine,449
68,"sql,ms-access",sql,1332
69,"sql,ms-access",ms-access,1332
70,"c#,xml",c#,1272
71,"c#,xml",xml,1272
72,"ruby-on-rails,ruby-on-rails-3",ruby-on-rails,966
73,"ruby-on-rails,ruby-on-rails-3",ruby-on-rails-3,966
74,"c#,entity-framework,linq",c#,494
75,"c#,entity-framework,linq",entity-framework,494
76,"c#,entity-framework,linq",linq,494
77,"matlab,image-processing",matlab,484
78,"matlab,image-processing",image-processing,484
79,"php,composer-php",php,305
80,"php,composer-php",composer-php,305
81,"sql,database",sql,353
82,"sql,database",database,353
83,"android,json",android,997
84,"android,json",json,997
85,"android,textview",android,550
86,"android,textview",textview,550
87,"apache,.htaccess",apache,487
88,"apache,.htaccess",.htaccess,487
89,"javascript,jquery,regex",javascript,883
90,"javascript,jquery,regex",jquery,883
91,"javascript,jquery,regex",regex,883
92,"javascript,php,ajax",javascript,731
93,"javascript,php,ajax",php,731
94,"javascript,php,ajax",ajax,731
95,"python,numpy",python,3164
96,"python,numpy",numpy,3164
97,"reactjs,redux",reactjs,463
98,"reactjs,redux",redux,463
99,"reactjs,redux,react-redux",reactjs,382
100,"reactjs,redux,react-redux",redux,382
101,"reactjs,redux,react-redux",react-redux,382
102,"mysql,database",mysql,1060
103,"mysql,database",database,1060
104,"php,laravel,laravel-5.2",php,312
105,"php,laravel,laravel-5.2",laravel,312
106,"php,laravel,laravel-5.2",laravel-5.2,312
107,"javascript,node.js",javascript,3850
108,"javascript,node.js",node.js,3850
109,"php,arrays,foreach",php,476
110,"php,arrays,foreach",arrays,476
111,"php,arrays,foreach",foreach,476
112,"php,zend-framework",php,319
113,"php,zend-framework",zend-framework,319
114,"android,android-actionbar",android,663
115,"android,android-actionbar",android-actionbar,663
116,"mongodb,aggregation-framework",mongodb,587
117,"mongodb,aggregation-framework",aggregation-framework,587
118,"mysql,select",mysql,362
119,"mysql,select",select,362
120,"python,string",python,938
121,"python,string",string,938
122,"c#,generics",c#,971
123,"c#,generics",generics,971
124,"java,eclipse",java,1572
125,"java,eclipse",eclipse,1572
126,"laravel,laravel-5",laravel,532
127,"laravel,laravel-5",laravel-5,532
128,"lisp,common-lisp",lisp,330
129,"lisp,common-lisp",common-lisp,330
130,"php,mysql,sql",php,3995
131,"php,mysql,sql",mysql,3995
132,"php,mysql,sql",sql,3995
133,"xml,xslt,xslt-2.0",xml,323
134,"xml,xslt,xslt-2.0",xslt,323
135,"xml,xslt,xslt-2.0",xslt-2.0,323
136,"android,eclipse",android,907
137,"android,eclipse",eclipse,907
138,"javascript,javascript-events",javascript,321
139,"javascript,javascript-events",javascript-events,321
140,"javascript,node.js,asynchronous",javascript,349
141,"javascript,node.js,asynchronous",node.js,349
142,"javascript,node.js,asynchronous",asynchronous,349
143,"python,pip",python,312
144,"python,pip",pip,312
145,"r,ggplot2",r,4344
146,"r,ggplot2",ggplot2,4344
147,"spring,spring-mvc",spring,522
148,"spring,spring-mvc",spring-mvc,522
149,".net,vb.net",.net,376
150,".net,vb.net",vb.net,376
151,"javascript,arrays",javascript,4039
152,"javascript,arrays",arrays,4039
153,"php,jquery,mysql",php,315
154,"php,jquery,mysql",jquery,315
155,"php,jquery,mysql",mysql,315
156,"bash,sed",bash,589
157,"bash,sed",sed,589
158,"javascript,if-statement",javascript,318
159,"javascript,if-statement",if-statement,318
160,"c#,asp.net,.net",c#,499
161,"c#,asp.net,.net",asp.net,499
162,"c#,asp.net,.net",.net,499
163,"java,reflection",java,619
164,"java,reflection",reflection,619
165,"powershell,active-directory",powershell,331
166,"powershell,active-directory",active-directory,331
167,"android,android-studio",android,2061
168,"android,android-studio",android-studio,2061
169,"java,regex",java,4503
170,"java,regex",regex,4503
171,"javascript,php",javascript,2120
172,"javascript,php",php,2120
173,"amazon-web-services,amazon-s3",amazon-web-services,418
174,"amazon-web-services,amazon-s3",amazon-s3,418
175,"java,android,sqlite",java,682
176,"java,android,sqlite",android,682
177,"java,android,sqlite",sqlite,682
178,"javascript,json",javascript,2186
179,"javascript,json",json,2186
180,"python,for-loop",python,340
181,"python,for-loop",for-loop,340
182,"xml,xsd",xml,513
183,"xml,xsd",xsd,513
184,"c++,inheritance",c++,462
185,"c++,inheritance",inheritance,462
186,"html,css,svg",html,501
187,"html,css,svg",css,501
188,"html,css,svg",svg,501
189,"java,maven",java,855
190,"java,maven",maven,855
191,"javascript,google-maps-api-3",javascript,364
192,"javascript,google-maps-api-3",google-maps-api-3,364
193,"javascript,jquery,jquery-selectors",javascript,347
194,"javascript,jquery,jquery-selectors",jquery,347
195,"javascript,jquery,jquery-selectors",jquery-selectors,347
196,"lua,coronasdk",lua,390
197,"lua,coronasdk",coronasdk,390
198,"r,function",r,311
199,"r,function",function,311
200,"javascript,jquery,html,css",javascript,15456
201,"javascript,jquery,html,css",jquery,15456
202,"javascript,jquery,html,css",html,15456
203,"javascript,jquery,html,css",css,15456
204,"php,apache",php,343
205,"php,apache",apache,343
206,"regex,notepad++",regex,706
207,"regex,notepad++",notepad++,706
208,"r,plot,ggplot2",r,620
209,"r,plot,ggplot2",plot,620
210,"r,plot,ggplot2",ggplot2,620
211,"sql-server,sql-server-2008",sql-server,813
212,"sql-server,sql-server-2008",sql-server-2008,813
213,"ios,swift",ios,5653
214,"ios,swift",swift,5653
215,"java,android",java,11245
216,"java,android",android,11245
217,"ms-access,vba,ms-access-2010",ms-access,396
218,"ms-access,vba,ms-access-2010",vba,396
219,"ms-access,vba,ms-access-2010",ms-access-2010,396
220,"php,html,forms",php,734
221,"php,html,forms",html,734
222,"php,html,forms",forms,734
223,"python,logging",python,349
224,"python,logging",logging,349
225,"c#,.net,winforms",c#,1229
226,"c#,.net,winforms",.net,1229
227,"c#,.net,winforms",winforms,1229
228,"html,css,css-shapes",html,360
229,"html,css,css-shapes",css,360
230,"html,css,css-shapes",css-shapes,360
231,"javascript,jquery,html",javascript,17358
232,"javascript,jquery,html",jquery,17358
233,"javascript,jquery,html",html,17358
234,"django,django-rest-framework",django,737
235,"django,django-rest-framework",django-rest-framework,737
236,"php,jquery,mysql,ajax",php,330
237,"php,jquery,mysql,ajax",jquery,330
238,"php,jquery,mysql,ajax",mysql,330
239,"php,jquery,mysql,ajax",ajax,330
240,"php,mysql,sql,pdo",php,312
241,"php,mysql,sql,pdo",mysql,312
242,"php,mysql,sql,pdo",sql,312
243,"php,mysql,sql,pdo",pdo,312
244,"powershell,powershell-2.0",powershell,375
245,"powershell,powershell-2.0",powershell-2.0,375
246,"ruby-on-rails,rspec",ruby-on-rails,521
247,"ruby-on-rails,rspec",rspec,521
248,"android,listview",android,1538
249,"android,listview",listview,1538
250,"css,html",css,1908
251,"css,html",html,1908
252,"javascript,google-maps,google-maps-api-3",javascript,1245
253,"javascript,google-maps,google-maps-api-3",google-maps,1245
254,"javascript,google-maps,google-maps-api-3",google-maps-api-3,1245
255,"jsf,primefaces",jsf,659
256,"jsf,primefaces",primefaces,659
257,"html,css,web",html,321
258,"html,css,web",css,321
259,"html,css,web",web,321
260,"mysql,sql,join",mysql,764
261,"mysql,sql,join",sql,764
262,"mysql,sql,join",join,764
263,"ios,objective-c,cocoa-touch",ios,493
264,"ios,objective-c,cocoa-touch",objective-c,493
265,"ios,objective-c,cocoa-touch",cocoa-touch,493
266,"java,spring,spring-mvc",java,1032
267,"java,spring,spring-mvc",spring,1032
268,"java,spring,spring-mvc",spring-mvc,1032
269,"javascript,jquery,asp.net",javascript,499
270,"javascript,jquery,asp.net",jquery,499
271,"javascript,jquery,asp.net",asp.net,499
272,"android,sqlite",android,1941
273,"android,sqlite",sqlite,1941
274,"c#,.net,regex",c#,467
275,"c#,.net,regex",.net,467
276,"c#,.net,regex",regex,467
277,"c++,opencv",c++,1081
278,"c++,opencv",opencv,1081
279,"java,mysql",java,705
280,"java,mysql",mysql,705
281,"ms-access,vba",ms-access,1165
282,"ms-access,vba",vba,1165
283,"html,css,twitter-bootstrap",html,5415
284,"html,css,twitter-bootstrap",css,5415
285,"html,css,twitter-bootstrap",twitter-bootstrap,5415
286,"java,xml",java,463
287,"java,xml",xml,463
288,"javascript,angularjs,angularjs-ng-repeat",javascript,390
289,"javascript,angularjs,angularjs-ng-repeat",angularjs,390
290,"javascript,angularjs,angularjs-ng-repeat",angularjs-ng-repeat,390
291,"javascript,html",javascript,12023
292,"javascript,html",html,12023
293,"python,django",python,7224
294,"python,django",django,7224
295,"c#,asp.net",c#,5622
296,"c#,asp.net",asp.net,5622
297,"java,xml,jaxb",java,376
298,"java,xml,jaxb",xml,376
299,"java,xml,jaxb",jaxb,376
300,"ruby-on-rails,ruby,devise",ruby-on-rails,365
301,"ruby-on-rails,ruby,devise",ruby,365
302,"ruby-on-rails,ruby,devise",devise,365
303,"c,linux",c,600
304,"c,linux",linux,600
305,"javascript,mongodb,meteor",javascript,391
306,"javascript,mongodb,meteor",mongodb,391
307,"javascript,mongodb,meteor",meteor,391
308,"mongodb,mongoose",mongodb,483
309,"mongodb,mongoose",mongoose,483
310,"php,yii",php,1079
311,"php,yii",yii,1079
312,"python,dictionary",python,2429
313,"python,dictionary",dictionary,2429
314,"c#,multithreading",c#,864
315,"c#,multithreading",multithreading,864
316,"javascript,node.js,mongodb",javascript,516
317,"javascript,node.js,mongodb",node.js,516
318,"javascript,node.js,mongodb",mongodb,516
319,"python,csv,pandas",python,421
320,"python,csv,pandas",csv,421
321,"python,csv,pandas",pandas,421
322,"html,css,twitter-bootstrap-3",html,791
323,"html,css,twitter-bootstrap-3",css,791
324,"html,css,twitter-bootstrap-3",twitter-bootstrap-3,791
325,"java,spring,spring-mvc,spring-security",java,304
326,"java,spring,spring-mvc,spring-security",spring,304
327,"java,spring,spring-mvc,spring-security",spring-mvc,304
328,"java,spring,spring-mvc,spring-security",spring-security,304
329,"javascript,php,mysql",javascript,361
330,"javascript,php,mysql",php,361
331,"javascript,php,mysql",mysql,361
332,"ember.js,ember-data",ember.js,1223
333,"ember.js,ember-data",ember-data,1223
334,"java,java-8,java-stream",java,781
335,"java,java-8,java-stream",java-8,781
336,"java,java-8,java-stream",java-stream,781
337,"javascript,jquery,jquery-mobile",javascript,377
338,"javascript,jquery,jquery-mobile",jquery,377
339,"javascript,jquery,jquery-mobile",jquery-mobile,377
340,"sql,sql-server,tsql",sql,3394
341,"sql,sql-server,tsql",sql-server,3394
342,"sql,sql-server,tsql",tsql,3394
343,"html,css,responsive-design",html,798
344,"html,css,responsive-design",css,798
345,"html,css,responsive-design",responsive-design,798
346,"ios,core-data",ios,480
347,"ios,core-data",core-data,480
348,"java,exception",java,441
349,"java,exception",exception,441
350,"python,web-scraping,beautifulsoup",python,407
351,"python,web-scraping,beautifulsoup",web-scraping,407
352,"python,web-scraping,beautifulsoup",beautifulsoup,407
353,"c,string",c,584
354,"c,string",string,584
355,"css,twitter-bootstrap,twitter-bootstrap-3",css,519
356,"css,twitter-bootstrap,twitter-bootstrap-3",twitter-bootstrap,519
357,"css,twitter-bootstrap,twitter-bootstrap-3",twitter-bootstrap-3,519
358,"java,android,eclipse",java,920
359,"java,android,eclipse",android,920
360,"java,android,eclipse",eclipse,920
361,"java,class",java,302
362,"java,class",class,302
363,"java,oop",java,575
364,"java,oop",oop,575
365,"sql,sql-server,sql-server-2008",sql,2656
366,"sql,sql-server,sql-server-2008",sql-server,2656
367,"sql,sql-server,sql-server-2008",sql-server-2008,2656
368,"matlab,matlab-figure",matlab,507
369,"matlab,matlab-figure",matlab-figure,507
370,"php,mysqli",php,1972
