,Original_Tags,Tags,YearTagCount
0,"android,xml",android,592
1,"android,xml",xml,592
2,"php,html",php,3008
3,"php,html",html,3008
4,"python,tkinter",python,1038
5,"python,tkinter",tkinter,1038
6,"php,jquery,ajax",php,1062
7,"php,jquery,ajax",jquery,1062
8,"php,jquery,ajax",ajax,1062
9,"javascript,node.js,express",javascript,640
10,"javascript,node.js,express",node.js,640
11,"javascript,node.js,express",express,640
12,"windows,batch-file",windows,601
13,"windows,batch-file",batch-file,601
14,"android,facebook",android,407
15,"android,facebook",facebook,407
16,"python,python-2.7",python,3018
17,"python,python-2.7",python-2.7,3018
18,"ruby,regex",ruby,771
19,"ruby,regex",regex,771
20,"python,arrays,numpy",python,921
21,"python,arrays,numpy",arrays,921
22,"python,arrays,numpy",numpy,921
23,"jquery,json",jquery,579
24,"jquery,json",json,579
25,"angularjs,angularjs-directive",angularjs,1645
26,"angularjs,angularjs-directive",angularjs-directive,1645
27,"python,flask",python,570
28,"python,flask",flask,570
29,"python,numpy,pandas",python,377
30,"python,numpy,pandas",numpy,377
31,"python,numpy,pandas",pandas,377
32,"c#,list",c#,386
33,"c#,list",list,386
34,"c#,sql-server",c#,483
35,"c#,sql-server",sql-server,483
36,"java,android,json",java,437
37,"java,android,json",android,437
38,"java,android,json",json,437
39,"laravel,laravel-4",laravel,639
40,"laravel,laravel-4",laravel-4,639
41,"c#,regex",c#,2004
42,"c#,regex",regex,2004
43,"scala,sbt",scala,386
44,"scala,sbt",sbt,386
45,"xml,xslt",xml,1685
46,"xml,xslt",xslt,1685
47,"c++,templates,c++11",c++,326
48,"c++,templates,c++11",templates,326
49,"c++,templates,c++11",c++11,326
50,"c++,winapi",c++,457
51,"c++,winapi",winapi,457
52,"java,hibernate,jpa",java,392
53,"java,hibernate,jpa",hibernate,392
54,"java,hibernate,jpa",jpa,392
55,"javascript,google-chrome-extension",javascript,370
56,"javascript,google-chrome-extension",google-chrome-extension,370
57,"sql,sql-server,sql-server-2008,tsql",sql,485
58,"sql,sql-server,sql-server-2008,tsql",sql-server,485
59,"sql,sql-server,sql-server-2008,tsql",sql-server-2008,485
60,"sql,sql-server,sql-server-2008,tsql",tsql,485
61,"android,sharedpreferences",android,355
62,"android,sharedpreferences",sharedpreferences,355
63,"java,string",java,1167
64,"java,string",string,1167
65,"mongodb,meteor",mongodb,426
66,"mongodb,meteor",meteor,426
67,"c#,asp.net-mvc,asp.net-mvc-4",c#,488
68,"c#,asp.net-mvc,asp.net-mvc-4",asp.net-mvc,488
69,"c#,asp.net-mvc,asp.net-mvc-4",asp.net-mvc-4,488
70,"ios,uitableview",ios,836
71,"ios,uitableview",uitableview,836
72,"android,database,sqlite",android,308
73,"android,database,sqlite",database,308
74,"android,database,sqlite",sqlite,308
75,"angularjs,angularjs-directive,angularjs-scope",angularjs,509
76,"angularjs,angularjs-directive,angularjs-scope",angularjs-directive,509
77,"angularjs,angularjs-directive,angularjs-scope",angularjs-scope,509
78,"c#,windows-phone-8",c#,487
79,"c#,windows-phone-8",windows-phone-8,487
80,"c++,boost",c++,452
81,"c++,boost",boost,452
82,"php,mysql,database",php,718
83,"php,mysql,database",mysql,718
84,"php,mysql,database",database,718
85,"c#,asp.net-mvc",c#,1441
86,"c#,asp.net-mvc",asp.net-mvc,1441
87,"javascript,jquery,html,twitter-bootstrap",javascript,308
88,"javascript,jquery,html,twitter-bootstrap",jquery,308
89,"javascript,jquery,html,twitter-bootstrap",html,308
90,"javascript,jquery,html,twitter-bootstrap",twitter-bootstrap,308
91,"android,google-play",android,412
92,"android,google-play",google-play,412
93,"apache,.htaccess,mod-rewrite",apache,658
94,"apache,.htaccess,mod-rewrite",.htaccess,658
95,"apache,.htaccess,mod-rewrite",mod-rewrite,658
96,"sql,oracle",sql,3204
97,"sql,oracle",oracle,3204
98,"ios,objective-c,uitableview",ios,1627
99,"ios,objective-c,uitableview",objective-c,1627
100,"ios,objective-c,uitableview",uitableview,1627
101,"java,json,gson",java,321
102,"java,json,gson",json,321
103,"java,json,gson",gson,321
104,"c#,.net,linq",c#,460
105,"c#,.net,linq",.net,460
106,"c#,.net,linq",linq,460
107,"ios,objective-c,xcode",ios,699
108,"ios,objective-c,xcode",objective-c,699
109,"ios,objective-c,xcode",xcode,699
110,"javascript,jquery,html,forms",javascript,416
111,"javascript,jquery,html,forms",jquery,416
112,"javascript,jquery,html,forms",html,416
113,"javascript,jquery,html,forms",forms,416
114,"python,beautifulsoup",python,509
115,"python,beautifulsoup",beautifulsoup,509
116,"python,django,django-rest-framework",python,341
117,"python,django,django-rest-framework",django,341
118,"python,django,django-rest-framework",django-rest-framework,341
119,"c,scanf",c,330
120,"c,scanf",scanf,330
121,"java,arrays",java,2185
122,"java,arrays",arrays,2185
123,"php,zend-framework2",php,379
124,"php,zend-framework2",zend-framework2,379
125,"javascript,angularjs,angularjs-directive",javascript,956
126,"javascript,angularjs,angularjs-directive",angularjs,956
127,"javascript,angularjs,angularjs-directive",angularjs-directive,956
128,"php,laravel,laravel-4",php,1013
129,"php,laravel,laravel-4",laravel,1013
130,"php,laravel,laravel-4",laravel-4,1013
131,"jquery,html,css,twitter-bootstrap",jquery,377
132,"jquery,html,css,twitter-bootstrap",html,377
133,"jquery,html,css,twitter-bootstrap",css,377
134,"jquery,html,css,twitter-bootstrap",twitter-bootstrap,377
135,"mysql,sql,select",mysql,344
136,"mysql,sql,select",sql,344
137,"mysql,sql,select",select,344
138,"php,wordpress",php,2866
139,"php,wordpress",wordpress,2866
140,"android,parse-platform",android,364
141,"android,parse-platform",parse-platform,364
142,"javascript,function",javascript,442
143,"javascript,function",function,442
144,"php,json",php,1272
145,"php,json",json,1272
146,"python,pandas,dataframe",python,594
147,"python,pandas,dataframe",pandas,594
148,"python,pandas,dataframe",dataframe,594
149,"r,shiny",r,556
150,"r,shiny",shiny,556
151,"android,listview,android-listview",android,374
152,"android,listview,android-listview",listview,374
153,"android,listview,android-listview",android-listview,374
154,"java,hibernate",java,864
155,"java,hibernate",hibernate,864
156,"vba,ms-word",vba,401
157,"vba,ms-word",ms-word,401
158,"jquery,css",jquery,1780
159,"jquery,css",css,1780
