,Original_Tags,Tags,YearTagCount
0,"android,xml",android,649
1,"android,xml",xml,649
2,"javascript,d3.js,svg",javascript,525
3,"javascript,d3.js,svg",d3.js,525
4,"javascript,d3.js,svg",svg,525
5,"php,html",php,3141
6,"php,html",html,3141
7,"python,tkinter",python,1863
8,"python,tkinter",tkinter,1863
9,"swift,swift3",swift,338
10,"swift,swift3",swift3,338
11,"android,gradle",android,393
12,"android,gradle",gradle,393
13,"ios,swift,realm",ios,319
14,"ios,swift,realm",swift,319
15,"ios,swift,realm",realm,319
16,"php,jquery,ajax",php,996
17,"php,jquery,ajax",jquery,996
18,"php,jquery,ajax",ajax,996
19,"bash,awk,sed",bash,332
20,"bash,awk,sed",awk,332
21,"bash,awk,sed",sed,332
22,"javascript,node.js,express",javascript,1152
23,"javascript,node.js,express",node.js,1152
24,"javascript,node.js,express",express,1152
25,"python,function",python,357
26,"python,function",function,357
27,"windows,batch-file",windows,681
28,"windows,batch-file",batch-file,681
29,"reactjs,typescript",reactjs,322
30,"reactjs,typescript",typescript,322
31,"python,python-2.7",python,3485
32,"python,python-2.7",python-2.7,3485
33,"ruby,regex",ruby,581
34,"ruby,regex",regex,581
35,"javascript,google-apps-script,google-sheets",javascript,327
36,"javascript,google-apps-script,google-sheets",google-apps-script,327
37,"javascript,google-apps-script,google-sheets",google-sheets,327
38,"python,arrays,numpy",python,1809
39,"python,arrays,numpy",arrays,1809
40,"python,arrays,numpy",numpy,1809
41,"jquery,json",jquery,383
42,"jquery,json",json,383
43,"angularjs,angularjs-directive",angularjs,884
44,"angularjs,angularjs-directive",angularjs-directive,884
45,"ios,swift,xcode",ios,753
46,"ios,swift,xcode",swift,753
47,"ios,swift,xcode",xcode,753
48,"python,flask",python,911
49,"python,flask",flask,911
50,"c#,list",c#,400
51,"c#,list",list,400
52,"c#,sql-server",c#,661
53,"c#,sql-server",sql-server,661
54,"java,android,json",java,506
55,"java,android,json",android,506
56,"java,android,json",json,506
57,"python,recursion",python,377
58,"python,recursion",recursion,377
59,"regex,powershell",regex,309
60,"regex,powershell",powershell,309
61,"javascript,jquery,html,angularjs",javascript,398
62,"javascript,jquery,html,angularjs",jquery,398
63,"javascript,jquery,html,angularjs",html,398
64,"javascript,jquery,html,angularjs",angularjs,398
65,"python,xml",python,312
66,"python,xml",xml,312
