,Original_Tags,Tags,YearTagCount
0,"c#,json.net",c#,672
1,"c#,json.net",json.net,672
2,"java,recursion",java,794
3,"java,recursion",recursion,794
4,"python,django,django-models",python,1406
5,"python,django,django-models",django,1406
6,"python,django,django-models",django-models,1406
7,"python,tensorflow,keras",python,860
8,"python,tensorflow,keras",tensorflow,860
9,"python,tensorflow,keras",keras,860
10,"regex,vim",regex,312
11,"regex,vim",vim,312
12,"android,android-service",android,344
13,"android,android-service",android-service,344
14,"javascript,closures",javascript,380
15,"javascript,closures",closures,380
16,"jquery,twitter-bootstrap",jquery,675
17,"jquery,twitter-bootstrap",twitter-bootstrap,675
18,"php,laravel,laravel-5",php,1933
19,"php,laravel,laravel-5",laravel,1933
20,"php,laravel,laravel-5",laravel-5,1933
21,"swift,firebase,firebase-realtime-database",swift,374
22,"swift,firebase,firebase-realtime-database",firebase,374
23,"swift,firebase,firebase-realtime-database",firebase-realtime-database,374
24,"android,android-volley",android,360
25,"android,android-volley",android-volley,360
26,"angular,angular-material",angular,1257
27,"angular,angular-material",angular-material,1257
28,"cakephp,cakephp-3.0",cakephp,398
29,"cakephp,cakephp-3.0",cakephp-3.0,398
30,"django,django-templates",django,762
31,"django,django-templates",django-templates,762
32,"javascript,jquery,ajax",javascript,4103
33,"javascript,jquery,ajax",jquery,4103
34,"javascript,jquery,ajax",ajax,4103
35,"python,django,django-views",python,400
36,"python,django,django-views",django,400
37,"python,django,django-views",django-views,400
38,"android,android-sqlite",android,445
39,"android,android-sqlite",android-sqlite,445
40,"android,imageview",android,331
41,"android,imageview",imageview,331
42,"javascript,php,jquery,html,css",javascript,631
43,"javascript,php,jquery,html,css",php,631
44,"javascript,php,jquery,html,css",jquery,631
45,"javascript,php,jquery,html,css",html,631
46,"javascript,php,jquery,html,css",css,631
47,"jquery,html",jquery,5316
48,"jquery,html",html,5316
49,"python,matplotlib",python,4944
50,"python,matplotlib",matplotlib,4944
51,"python,python-3.x,tkinter",python,1038
52,"python,python-3.x,tkinter",python-3.x,1038
53,"python,python-3.x,tkinter",tkinter,1038
54,"sql,oracle11g",sql,466
55,"sql,oracle11g",oracle11g,466
56,"android,navigation-drawer",android,345
57,"android,navigation-drawer",navigation-drawer,345
58,"apache-flink,flink-streaming",apache-flink,339
59,"apache-flink,flink-streaming",flink-streaming,339
60,"bash,shell,unix",bash,420
61,"bash,shell,unix",shell,420
62,"bash,shell,unix",unix,420
63,"python,wxpython",python,400
64,"python,wxpython",wxpython,400
65,"c#,excel",c#,491
66,"c#,excel",excel,491
67,"c#,oop",c#,427
68,"c#,oop",oop,427
69,"excel,excel-formula,excel-2010",excel,327
70,"excel,excel-formula,excel-2010",excel-formula,327
71,"excel,excel-formula,excel-2010",excel-2010,327
72,"java,regex,string",java,795
73,"java,regex,string",regex,795
74,"java,regex,string",string,795
75,"emacs,elisp",emacs,582
76,"emacs,elisp",elisp,582
77,"excel,excel-formula",excel,3998
78,"excel,excel-formula",excel-formula,3998
79,"javascript,css,reactjs",javascript,364
80,"javascript,css,reactjs",css,364
81,"javascript,css,reactjs",reactjs,364
82,"javascript,highcharts",javascript,1585
83,"javascript,highcharts",highcharts,1585
84,"ruby-on-rails,activeadmin",ruby-on-rails,305
85,"ruby-on-rails,activeadmin",activeadmin,305
86,"xml,xslt,xslt-1.0",xml,602
87,"xml,xslt,xslt-1.0",xslt,602
88,"xml,xslt,xslt-1.0",xslt-1.0,602
89,"java,jpa",java,356
90,"java,jpa",jpa,356
91,"java,spring,hibernate",java,618
92,"java,spring,hibernate",spring,618
93,"java,spring,hibernate",hibernate,618
94,"javascript,jquery,html,css,twitter-bootstrap",javascript,1932
95,"javascript,jquery,html,css,twitter-bootstrap",jquery,1932
96,"javascript,jquery,html,css,twitter-bootstrap",html,1932
97,"javascript,jquery,html,css,twitter-bootstrap",css,1932
98,"javascript,jquery,html,css,twitter-bootstrap",twitter-bootstrap,1932
99,"php,magento",php,1006
100,"php,magento",magento,1006
101,"sql,vba,ms-access",sql,316
