,Tags,Year,count
0,['mysqli'],2010,2
1,['mysqli'],2011,4
2,['mysqli'],2012,3
3,['mysqli'],2013,14
4,['mysqli'],2014,10
5,['mysqli'],2015,6
6,['mysqli'],2016,11
7,['mysqli'],2017,2
8,['mysqli'],2018,13
