,Tags,singleTagCount
0,discord.js,639
1,rxjs,1241
2,qt,1360
3,kubernetes,1408
4,html-table,309
5,google-chrome-extension,301
6,python-requests,356
7,react-redux,1687
8,dart,4246
9,jackson,316
10,curl,319
11,flutter,7488
12,xcode,1857
13,azure,686
14,android,25786
15,java-8,1420
16,pygame,1651
17,promise,477
18,django-models,1590
19,algorithm,1146
20,uicollectionview,382
21,google-sheets,2759
22,scikit-learn,479
23,rust,1989
24,templates,806
25,pytest,310
26,postgresql,6319
27,raku,321
28,angular,21377
29,d3.js,2555
30,data.table,1387
31,winforms,1986
32,firebase,5559
33,pyqt,422
34,powershell,5379
35,haskell,2390
36,entity-framework-core,302
37,ms-word,686
38,mongoose,2646
39,redux,2806
40,amazon-ec2,389
41,flutter-layout,1386
42,jenkins-pipeline,539
43,firebase-realtime-database,3790
44,expo,330
45,eloquent,1708
46,pycharm,329
47,javafx,1461
48,delphi,601
49,cypher,1232
50,scrapy,642
51,pytorch,309
52,android-recyclerview,1461
53,angular-material,1246
54,node.js,11122
55,ansible,1467
56,multidimensional-array,599
57,c#,33426
58,multithreading,1072
59,npm,345
60,mvvm,410
61,sqlalchemy,578
62,angular-cli,449
63,tensorflow,4474
64,c++11,1450
65,ecmascript-6,2255
66,ionic-framework,302
67,.net-core,324
68,lodash,550
69,vb.net,1934
70,object,1451
71,spring,2148
72,corda,637
73,makefile,813
74,html,67242
75,tkinter,3453
76,asp.net,1969
77,perl,1737
78,mongodb,7622
79,vuetify.js,467
80,linq,2762
81,sql-server-2008,909
82,excel,15785
83,acumatica,805
84,ggplot2,4619
85,gnuplot,424
86,numpy,7624
87,database,1603
88,terraform,408
89,dplyr,4035
90,beautifulsoup,2384
91,pyqt5,422
92,json,8389
93,pandas,37946
94,ruby,4613
95,mysql,27105
96,entity-framework,1053
97,google-bigquery,2293
98,docker,3028
99,css-grid,898
100,react-router,1398
101,ember.js,312
102,canvas,369
103,sass,827
104,yii2,344
105,awk,1466
106,azure-functions,365
107,ajax,4395
108,jenkins,910
109,twitter-bootstrap,3304
110,spring-boot,2144
111,android-studio,2291
112,tsql,4996
113,go,3225
114,keras,1585
115,arraylist,674
116,react-hooks,1759
117,bootstrap-4,2677
118,prolog,809
119,momentjs,455
120,jquery,41600
121,loops,343
122,javascript,131824
123,eclipse,470
124,winapi,350
125,clojure,636
126,css,49315
127,dom,890
128,amazon-web-services,891
129,bash,5811
130,excel-formula,3332
131,arrays,16689
132,oracle11g,427
133,react-native,6953
134,listview,348
135,f#,689
136,apache-nifi,439
137,sql,39102
138,woocommerce,1162
139,gradle,384
140,intellij-idea,860
141,ocaml,334
142,typescript,14553
143,string,1571
144,opencv,1089
145,lua,419
146,scala,4679
147,django-templates,333
148,highcharts,1345
149,xml,2658
150,apache-kafka-streams,366
151,sql-server,18650
152,material-ui,1338
153,tidyverse,839
154,bokeh,354
155,vscode-settings,408
156,kotlin,3594
157,selenium,1658
158,pointers,1284
159,regex,17454
160,selenium-webdriver,357
161,jsx,390
162,django-rest-framework,1993
163,sorting,417
164,plot,851
165,angular-material2,412
166,svg,799
167,activerecord,442
168,c++17,483
169,google-cloud-firestore,1451
170,pyspark,859
171,ruby-on-rails-5,402
172,vue-component,903
173,matplotlib,4343
174,github,1753
175,angular-reactive-forms,311
176,date,340
177,function,1092
178,mysqli,1502
179,uitableview,1174
180,laravel,12217
181,elasticsearch,2162
182,xslt,1518
183,sympy,303
184,three.js,1072
185,vim,940
186,android-layout,966
187,c++,16719
188,datatables,382
189,hibernate,403
190,visual-studio,451
191,snowflake-cloud-data-platform,316
192,wordpress,4337
193,xamarin.forms,1737
194,amazon-redshift,341
195,symfony,835
196,jmeter,681
197,kivy,683
198,nginx,419
199,uwp,486
200,aggregation-framework,1431
201,flask,914
202,neo4j,1602
203,c,8442
204,redis,339
205,wpf,3985
206,azure-pipelines,350
207,csv,1650
208,codeigniter,1695
209,shell,1908
210,mongodb-query,1451
211,pdo,614
212,google-app-maker,314
213,.htaccess,441
214,list,3762
215,outlook,360
216,angular2-routing,302
217,web-scraping,1210
218,jq,391
219,julia,987
220,objective-c,668
221,matrix,373
222,class,306
223,xamarin,1221
224,typescript-typings,358
225,tfs,382
226,apache-spark-sql,1301
227,elixir,963
228,groovy,392
229,express,2500
230,json.net,798
231,django-forms,348
232,gnu-make,386
233,vector,461
234,codenameone,697
235,google-apps-script,3420
236,amazon-s3,502
237,android-fragments,944
238,sapui5,692
239,sqlite,2081
240,stata,308
241,linux,1588
242,pip,378
243,seaborn,348
244,swift,12246
245,swiftui,1674
246,xaml,1296
247,visual-studio-code,1351
248,asp.net-mvc,2074
249,ffmpeg,531
250,flexbox,2826
251,reactjs,30707
252,solr,305
253,apache-spark,4106
254,tableau-api,423
255,hashmap,319
256,azure-devops,1113
257,chart.js,415
258,sed,669
259,sas,845
260,dataframe,13266
261,apache-kafka,911
262,maven,505
263,sql-server-2012,381
264,generics,1067
265,shiny,1755
266,java,38342
267,git,5271
268,kdb,401
269,r,31850
270,vue.js,7068
271,cmd,815
272,php,48279
273,docusignapi,579
274,recursion,335
275,dax,632
276,react-navigation,554
277,netlogo,439
278,django,13873
279,powerbi,975
280,.net,1672
281,unity3d,4377
282,cmake,485
283,python-3.x,23943
284,vba,13311
285,cassandra,325
286,java-stream,1472
287,karate,871
288,python-2.7,2609
289,laravel-5,2226
290,datetime,1078
291,matlab,1676
292,ios,9022
293,python,123353
294,batch-file,2622
295,ms-access,2170
296,docker-compose,910
297,active-directory,332
298,notepad++,394
299,coq,367
300,qml,379
301,vuejs2,3120
302,angularjs,6541
303,asp.net-core,1170
304,plsql,1299
305,dictionary,3043
306,css-selectors,333
307,dockerfile,549
308,phoenix-framework,348
309,microsoft-graph-api,355
310,ruby-on-rails,6117
311,oracle,6799
312,swing,838
313,autohotkey,355
314,windows,730
315,pandas-groupby,1407
