,Original_Tags,Tags,YearTagCount
0,"asp.net-mvc,razor",asp.net-mvc,764
1,"asp.net-mvc,razor",razor,764
2,"bash,awk",bash,813
3,"bash,awk",awk,813
4,"r,list",r,358
5,"r,list",list,358
6,"angularjs,ionic-framework",angularjs,572
7,"angularjs,ionic-framework",ionic-framework,572
8,"c#,c#-4.0",c#,666
9,"c#,c#-4.0",c#-4.0,666
10,"java,javafx",java,1297
11,"java,javafx",javafx,1297
12,"java,methods",java,436
13,"java,methods",methods,436
14,"javascript,jquery,css",javascript,4430
15,"javascript,jquery,css",jquery,4430
16,"javascript,jquery,css",css,4430
17,"android,spinner",android,363
18,"android,spinner",spinner,363
19,"css,sass",css,709
20,"css,sass",sass,709
21,"java,exception-handling",java,347
22,"java,exception-handling",exception-handling,347
23,"javascript,arrays,angularjs",javascript,312
24,"javascript,arrays,angularjs",arrays,312
25,"javascript,arrays,angularjs",angularjs,312
26,"javascript,google-visualization",javascript,370
27,"javascript,google-visualization",google-visualization,370
28,"vba,ms-access",vba,627
29,"vba,ms-access",ms-access,627
30,"docker,docker-compose",docker,473
31,"docker,docker-compose",docker-compose,473
32,"javascript,jquery,jquery-validate",javascript,398
33,"javascript,jquery,jquery-validate",jquery,398
34,"javascript,jquery,jquery-validate",jquery-validate,398
35,"javascript,jquery,ruby-on-rails",javascript,408
36,"javascript,jquery,ruby-on-rails",jquery,408
37,"javascript,jquery,ruby-on-rails",ruby-on-rails,408
38,"php,joomla",php,401
39,"php,joomla",joomla,401
40,"python,matplotlib,plot",python,574
41,"python,matplotlib,plot",matplotlib,574
42,"python,matplotlib,plot",plot,574
43,"c,pointers",c,1844
44,"c,pointers",pointers,1844
45,"c#,c++",c#,329
46,"c#,c++",c++,329
47,"c#,linq",c#,7863
48,"c#,linq",linq,7863
49,"c#,winforms",c#,6518
50,"c#,winforms",winforms,6518
51,"ios,swift,firebase,firebase-realtime-database",ios,422
52,"ios,swift,firebase,firebase-realtime-database",swift,422
53,"ios,swift,firebase,firebase-realtime-database",firebase,422
54,"ios,swift,firebase,firebase-realtime-database",firebase-realtime-database,422
55,"java,servlets",java,828
56,"java,servlets",servlets,828
57,"javascript,for-loop",javascript,321
58,"javascript,for-loop",for-loop,321
59,"c#,unity3d",c#,2070
60,"c#,unity3d",unity3d,2070
61,"c#,wpf,datagrid",c#,654
62,"c#,wpf,datagrid",wpf,654
63,"c#,wpf,datagrid",datagrid,654
64,"css,flexbox",css,644
65,"css,flexbox",flexbox,644
66,"html,css,image",html,688
67,"html,css,image",css,688
68,"html,css,image",image,688
69,"mysql,sql,sql-server",mysql,439
70,"mysql,sql,sql-server",sql,439
71,"mysql,sql,sql-server",sql-server,439
72,"python,regex,python-3.x",python,333
73,"python,regex,python-3.x",regex,333
74,"python,regex,python-3.x",python-3.x,333
75,"xslt,xpath",xslt,336
76,"xslt,xpath",xpath,336
77,"c#,sql",c#,1094
78,"c#,sql",sql,1094
79,"java,for-loop",java,469
80,"java,for-loop",for-loop,469
81,"json,go",json,328
82,"json,go",go,328
83,"python,google-app-engine",python,1223
84,"python,google-app-engine",google-app-engine,1223
85,"sql,ms-access",sql,1863
86,"sql,ms-access",ms-access,1863
87,"c#,visual-studio-2010",c#,706
88,"c#,visual-studio-2010",visual-studio-2010,706
89,"c#,xml",c#,1967
90,"c#,xml",xml,1967
91,"java,arrays,sorting",java,345
92,"java,arrays,sorting",arrays,345
93,"java,arrays,sorting",sorting,345
94,"ruby-on-rails,ruby-on-rails-3",ruby-on-rails,3438
95,"ruby-on-rails,ruby-on-rails-3",ruby-on-rails-3,3438
96,"c#,entity-framework,linq",c#,499
97,"c#,entity-framework,linq",entity-framework,499
98,"c#,entity-framework,linq",linq,499
99,"c#,xml,linq-to-xml",c#,372
100,"c#,xml,linq-to-xml",xml,372
101,"c#,xml,linq-to-xml",linq-to-xml,372
