,Original_Tags,Tags,YearTagCount
0,"laravel,eloquent",laravel,329
1,"laravel,eloquent",eloquent,329
2,"php,arrays,sorting",php,550
3,"php,arrays,sorting",arrays,550
4,"php,arrays,sorting",sorting,550
5,"c#,reflection",c#,451
6,"c#,reflection",reflection,451
7,"ios,xcode,swift",ios,790
8,"ios,xcode,swift",xcode,790
9,"ios,xcode,swift",swift,790
10,"python,tensorflow",python,324
11,"python,tensorflow",tensorflow,324
12,"c#,asp.net,sql-server",c#,332
13,"c#,asp.net,sql-server",asp.net,332
14,"c#,asp.net,sql-server",sql-server,332
15,"javascript,html,canvas",javascript,1057
16,"javascript,html,canvas",html,1057
17,"javascript,html,canvas",canvas,1057
18,"html,css",html,30271
19,"html,css",css,30271
20,"javascript,jquery,jquery-ui",javascript,764
21,"javascript,jquery,jquery-ui",jquery,764
22,"javascript,jquery,jquery-ui",jquery-ui,764
23,"javascript,node.js,mongodb,mongoose",javascript,474
24,"javascript,node.js,mongodb,mongoose",node.js,474
25,"javascript,node.js,mongodb,mongoose",mongodb,474
26,"javascript,node.js,mongodb,mongoose",mongoose,474
27,"windows,batch-file,cmd",windows,497
28,"windows,batch-file,cmd",batch-file,497
29,"windows,batch-file,cmd",cmd,497
30,"elixir,phoenix-framework",elixir,397
31,"elixir,phoenix-framework",phoenix-framework,397
32,"php,regex",php,3895
33,"php,regex",regex,3895
34,"python,algorithm",python,311
35,"python,algorithm",algorithm,311
36,"python,sqlite",python,406
37,"python,sqlite",sqlite,406
38,"ruby,rspec",ruby,357
39,"ruby,rspec",rspec,357
40,"c#,.net,wpf",c#,405
41,"c#,.net,wpf",.net,405
42,"c#,.net,wpf",wpf,405
43,"git,version-control",git,356
44,"git,version-control",version-control,356
45,"ios,objective-c,swift",ios,483
46,"ios,objective-c,swift",objective-c,483
47,"ios,objective-c,swift",swift,483
48,"javascript,html,css,twitter-bootstrap",javascript,337
49,"javascript,html,css,twitter-bootstrap",html,337
50,"javascript,html,css,twitter-bootstrap",css,337
51,"javascript,html,css,twitter-bootstrap",twitter-bootstrap,337
52,"javascript,jquery,knockout.js",javascript,389
53,"javascript,jquery,knockout.js",jquery,389
54,"javascript,jquery,knockout.js",knockout.js,389
55,"javascript,vue.js",javascript,333
56,"javascript,vue.js",vue.js,333
57,"scala,playframework",scala,308
58,"scala,playframework",playframework,308
59,"java,enums",java,448
60,"java,enums",enums,448
61,"javascript,html,dom",javascript,595
62,"javascript,html,dom",html,595
63,"javascript,html,dom",dom,595
64,"javascript,underscore.js",javascript,518
65,"javascript,underscore.js",underscore.js,518
66,"node.js,mongodb",node.js,695
67,"node.js,mongodb",mongodb,695
