,Tags,Year,count
0,['ios'],2008,1
1,['ios'],2009,7
2,['ios'],2010,19
3,['ios'],2011,315
4,['ios'],2012,988
5,['ios'],2013,939
6,['ios'],2014,735
7,['ios'],2015,575
8,['ios'],2016,355
9,['ios'],2017,235
10,['ios'],2018,113
11,['ios'],2019,80
12,['ios'],2020,30
