,Tags,singleTagCount
0,iphone,890
1,c#,2601
2,asp.net,1386
3,html,552
4,ruby,682
5,mysql,1636
6,jquery,2204
7,javascript,1909
8,css,981
9,sql,1190
10,sql-server,728
11,regex,304
12,c++,683
13,c,331
14,asp.net-mvc,904
15,java,641
16,php,1753
17,.net,635
18,python,815
19,ruby-on-rails,996
