,Original_Tags,Tags,YearTagCount
0,"android,xml",android,319
1,"android,xml",xml,319
2,"php,html",php,1831
3,"php,html",html,1831
4,"python,tkinter",python,429
5,"python,tkinter",tkinter,429
6,"php,jquery,ajax",php,694
7,"php,jquery,ajax",jquery,694
8,"php,jquery,ajax",ajax,694
9,"android,facebook",android,348
10,"android,facebook",facebook,348
11,"php,javascript",php,1067
12,"php,javascript",javascript,1067
13,"python,python-2.7",python,1378
14,"python,python-2.7",python-2.7,1378
15,"ruby,regex",ruby,520
16,"ruby,regex",regex,520
17,"jquery,json",jquery,454
18,"jquery,json",json,454
19,"angularjs,angularjs-directive",angularjs,528
20,"angularjs,angularjs-directive",angularjs-directive,528
21,"objective-c,cocoa",objective-c,379
22,"objective-c,cocoa",cocoa,379
23,"c#,asp.net-mvc-3",c#,371
24,"c#,asp.net-mvc-3",asp.net-mvc-3,371
25,"c#,regex",c#,1359
26,"c#,regex",regex,1359
27,"xml,xslt",xml,937
28,"xml,xslt",xslt,937
29,"c++,winapi",c++,356
30,"c++,winapi",winapi,356
31,"sql,sql-server,sql-server-2008,tsql",sql,515
32,"sql,sql-server,sql-server-2008,tsql",sql-server,515
33,"sql,sql-server,sql-server-2008,tsql",sql-server-2008,515
34,"sql,sql-server,sql-server-2008,tsql",tsql,515
35,"java,string",java,654
36,"java,string",string,654
37,"ios,uitableview",ios,642
38,"ios,uitableview",uitableview,642
39,"php,mysql,database",php,546
40,"php,mysql,database",mysql,546
41,"php,mysql,database",database,546
42,"c#,asp.net-mvc",c#,775
43,"c#,asp.net-mvc",asp.net-mvc,775
44,"wordpress,wordpress-theming",wordpress,301
45,"wordpress,wordpress-theming",wordpress-theming,301
46,"android,google-play",android,388
47,"android,google-play",google-play,388
48,"apache,.htaccess,mod-rewrite",apache,347
49,"apache,.htaccess,mod-rewrite",.htaccess,347
50,"apache,.htaccess,mod-rewrite",mod-rewrite,347
51,"sql,oracle",sql,1701
52,"sql,oracle",oracle,1701
53,"ios,objective-c,uitableview",ios,457
54,"ios,objective-c,uitableview",objective-c,457
55,"ios,objective-c,uitableview",uitableview,457
56,"php,javascript,jquery",php,731
57,"php,javascript,jquery",javascript,731
58,"php,javascript,jquery",jquery,731
59,"c#,.net,linq",c#,390
60,"c#,.net,linq",.net,390
61,"c#,.net,linq",linq,390
62,"iphone,ios,xcode",iphone,470
63,"iphone,ios,xcode",ios,470
64,"iphone,ios,xcode",xcode,470
65,"java,arrays",java,840
66,"java,arrays",arrays,840
67,"php,laravel,laravel-4",php,305
68,"php,laravel,laravel-4",laravel,305
69,"php,laravel,laravel-4",laravel-4,305
70,"php,wordpress",php,1569
71,"php,wordpress",wordpress,1569
72,"php,json",php,699
73,"php,json",json,699
74,"java,hibernate",java,625
75,"java,hibernate",hibernate,625
76,"jquery,css",jquery,1476
77,"jquery,css",css,1476
78,"android,android-emulator",android,320
79,"android,android-emulator",android-emulator,320
80,"javascript,asp.net",javascript,586
81,"javascript,asp.net",asp.net,586
82,"php,javascript,jquery,ajax",php,362
83,"php,javascript,jquery,ajax",javascript,362
84,"php,javascript,jquery,ajax",jquery,362
85,"php,javascript,jquery,ajax",ajax,362
86,"php,regex,preg-replace",php,393
87,"php,regex,preg-replace",regex,393
88,"php,regex,preg-replace",preg-replace,393
89,"jquery,jqgrid",jquery,320
90,"jquery,jqgrid",jqgrid,320
91,"android,actionbarsherlock",android,304
92,"android,actionbarsherlock",actionbarsherlock,304
93,"ios,xcode",ios,732
94,"ios,xcode",xcode,732
95,"php,xml",php,436
96,"php,xml",xml,436
97,"html,css,css-selectors",html,324
98,"html,css,css-selectors",css,324
99,"html,css,css-selectors",css-selectors,324
100,"php,javascript,ajax",php,325
101,"php,javascript,ajax",javascript,325
102,"php,javascript,ajax",ajax,325
103,"bash,shell",bash,557
104,"bash,shell",shell,557
105,"python,list",python,850
106,"python,list",list,850
107,"asp.net-mvc,asp.net-mvc-3",asp.net-mvc,346
108,"asp.net-mvc,asp.net-mvc-3",asp.net-mvc-3,346
109,"node.js,express",node.js,528
110,"node.js,express",express,528
111,"php,mysql,codeigniter",php,408
112,"php,mysql,codeigniter",mysql,408
113,"php,mysql,codeigniter",codeigniter,408
114,"asp.net,vb.net",asp.net,507
115,"asp.net,vb.net",vb.net,507
116,"javascript,html,canvas",javascript,440
117,"javascript,html,canvas",html,440
118,"javascript,html,canvas",canvas,440
119,"html,css",html,11290
120,"html,css",css,11290
121,"javascript,jquery,jquery-ui",javascript,667
122,"javascript,jquery,jquery-ui",jquery,667
123,"javascript,jquery,jquery-ui",jquery-ui,667
124,"php,regex",php,2273
125,"php,regex",regex,2273
126,"c#,.net,wpf",c#,363
127,"c#,.net,wpf",.net,363
