,Original_Tags,Tags,YearTagCount
0,"ember.js,handlebars.js",ember.js,319
1,"ember.js,handlebars.js",handlebars.js,319
2,"java,data-structures",java,319
3,"java,data-structures",data-structures,319
4,"laravel,eloquent",laravel,330
5,"laravel,eloquent",eloquent,330
6,"mysql,vb.net",mysql,310
7,"mysql,vb.net",vb.net,310
8,"php,arrays,sorting",php,760
9,"php,arrays,sorting",arrays,760
10,"php,arrays,sorting",sorting,760
11,"c#,reflection",c#,888
12,"c#,reflection",reflection,888
13,"ios,xcode,swift",ios,790
14,"ios,xcode,swift",xcode,790
15,"ios,xcode,swift",swift,790
16,"mysql,database-design",mysql,316
17,"mysql,database-design",database-design,316
18,"python,tensorflow",python,324
19,"python,tensorflow",tensorflow,324
20,"c#,asp.net,sql-server",c#,518
21,"c#,asp.net,sql-server",asp.net,518
22,"c#,asp.net,sql-server",sql-server,518
23,"javascript,html,canvas",javascript,1465
24,"javascript,html,canvas",html,1465
25,"javascript,html,canvas",canvas,1465
26,"nhibernate,fluent-nhibernate",nhibernate,350
27,"nhibernate,fluent-nhibernate",fluent-nhibernate,350
28,"asp.net,webforms",asp.net,304
29,"asp.net,webforms",webforms,304
30,"html,css",html,39292
31,"html,css",css,39292
32,"java,random",java,389
33,"java,random",random,389
34,"javascript,jquery,jquery-ui",javascript,1479
35,"javascript,jquery,jquery-ui",jquery,1479
36,"javascript,jquery,jquery-ui",jquery-ui,1479
37,"javascript,node.js,mongodb,mongoose",javascript,513
38,"javascript,node.js,mongodb,mongoose",node.js,513
39,"javascript,node.js,mongodb,mongoose",mongodb,513
40,"javascript,node.js,mongodb,mongoose",mongoose,513
41,"windows,batch-file,cmd",windows,611
42,"windows,batch-file,cmd",batch-file,611
43,"windows,batch-file,cmd",cmd,611
44,"elixir,phoenix-framework",elixir,397
45,"elixir,phoenix-framework",phoenix-framework,397
46,"php,regex",php,6480
47,"php,regex",regex,6480
48,"python,algorithm",python,448
49,"python,algorithm",algorithm,448
50,"python,mysql,django",python,321
51,"python,mysql,django",mysql,321
52,"python,mysql,django",django,321
53,"python,sqlite",python,593
54,"python,sqlite",sqlite,593
55,"ruby,rspec",ruby,469
56,"ruby,rspec",rspec,469
57,"wpf,wpf-controls",wpf,416
58,"wpf,wpf-controls",wpf-controls,416
59,"c#,.net,wpf",c#,869
60,"c#,.net,wpf",.net,869
61,"c#,.net,wpf",wpf,869
62,"git,git-submodules",git,309
63,"git,git-submodules",git-submodules,309
64,"git,version-control",git,633
65,"git,version-control",version-control,633
66,"html,canvas",html,301
67,"html,canvas",canvas,301
68,"ios,objective-c,swift",ios,483
69,"ios,objective-c,swift",objective-c,483
70,"ios,objective-c,swift",swift,483
71,"javascript,html,css,twitter-bootstrap",javascript,353
72,"javascript,html,css,twitter-bootstrap",html,353
73,"javascript,html,css,twitter-bootstrap",css,353
74,"javascript,html,css,twitter-bootstrap",twitter-bootstrap,353
75,"javascript,jquery,knockout.js",javascript,467
76,"javascript,jquery,knockout.js",jquery,467
77,"javascript,jquery,knockout.js",knockout.js,467
78,"javascript,vue.js",javascript,333
79,"javascript,vue.js",vue.js,333
80,"php,smarty",php,359
81,"php,smarty",smarty,359
82,"scala,playframework",scala,346
83,"scala,playframework",playframework,346
84,"java,enums",java,696
85,"java,enums",enums,696
86,"javascript,html,dom",javascript,890
87,"javascript,html,dom",html,890
88,"javascript,html,dom",dom,890
89,"javascript,underscore.js",javascript,596
90,"javascript,underscore.js",underscore.js,596
91,"list,prolog",list,319
92,"list,prolog",prolog,319
93,"node.js,mongodb",node.js,789
94,"node.js,mongodb",mongodb,789
95,"php,regex,string",php,391
96,"php,regex,string",regex,391
97,"php,regex,string",string,391
98,"r,plot",r,992
99,"r,plot",plot,992
100,"android,layout",android,680
101,"android,layout",layout,680
102,"java,performance",java,313
103,"java,performance",performance,313
104,"javascript,jquery,html,iframe",javascript,323
105,"javascript,jquery,html,iframe",jquery,323
106,"javascript,jquery,html,iframe",html,323
107,"javascript,jquery,html,iframe",iframe,323
108,"mongodb,mongodb-query",mongodb,644
109,"mongodb,mongodb-query",mongodb-query,644
110,"mysql,join",mysql,1153
111,"mysql,join",join,1153
112,"angularjs,angularjs-scope",angularjs,553
113,"angularjs,angularjs-scope",angularjs-scope,553
114,"java,generics",java,2467
115,"java,generics",generics,2467
116,"php,mysql,phpmyadmin",php,451
117,"php,mysql,phpmyadmin",mysql,451
118,"php,mysql,phpmyadmin",phpmyadmin,451
119,"python,file-io",python,301
120,"python,file-io",file-io,301
121,"c,arrays",c,1367
122,"c,arrays",arrays,1367
123,"c++,class",c++,528
124,"c++,class",class,528
125,"java,android,libgdx",java,388
126,"java,android,libgdx",android,388
127,"java,android,libgdx",libgdx,388
128,"c#,algorithm",c#,305
129,"c#,algorithm",algorithm,305
130,"c#,linq,list",c#,342
131,"c#,linq,list",linq,342
132,"c#,linq,list",list,342
133,"google-app-engine,google-cloud-datastore",google-app-engine,450
134,"google-app-engine,google-cloud-datastore",google-cloud-datastore,450
135,"google-apps-script,google-sheets",google-apps-script,848
136,"google-apps-script,google-sheets",google-sheets,848
137,"javascript,jquery,internet-explorer",javascript,310
138,"javascript,jquery,internet-explorer",jquery,310
139,"javascript,jquery,internet-explorer",internet-explorer,310
140,"javascript,meteor",javascript,931
141,"javascript,meteor",meteor,931
142,"python,google-app-engine,google-cloud-datastore",python,351
143,"python,google-app-engine,google-cloud-datastore",google-app-engine,351
