,Original_Tags,Tags,YearTagCount
0,"c#,json.net",c#,708
1,"c#,json.net",json.net,708
2,"java,recursion",java,869
3,"java,recursion",recursion,869
4,"python,django,django-models",python,1535
5,"python,django,django-models",django,1535
6,"python,django,django-models",django-models,1535
7,"python,tensorflow,keras",python,860
8,"python,tensorflow,keras",tensorflow,860
9,"python,tensorflow,keras",keras,860
10,"regex,vim",regex,361
11,"regex,vim",vim,361
12,"android,android-service",android,447
13,"android,android-service",android-service,447
14,"javascript,closures",javascript,448
15,"javascript,closures",closures,448
16,"jquery,twitter-bootstrap",jquery,779
17,"jquery,twitter-bootstrap",twitter-bootstrap,779
18,"php,laravel,laravel-5",php,1933
19,"php,laravel,laravel-5",laravel,1933
20,"php,laravel,laravel-5",laravel-5,1933
21,"swift,firebase,firebase-realtime-database",swift,374
22,"swift,firebase,firebase-realtime-database",firebase,374
23,"swift,firebase,firebase-realtime-database",firebase-realtime-database,374
24,"android,android-mediaplayer",android,363
25,"android,android-mediaplayer",android-mediaplayer,363
26,"android,android-volley",android,360
27,"android,android-volley",android-volley,360
28,"angular,angular-material",angular,1257
29,"angular,angular-material",angular-material,1257
30,"cakephp,cakephp-3.0",cakephp,398
31,"cakephp,cakephp-3.0",cakephp-3.0,398
32,"django,django-templates",django,948
33,"django,django-templates",django-templates,948
34,"javascript,jquery,ajax",javascript,4625
35,"javascript,jquery,ajax",jquery,4625
36,"javascript,jquery,ajax",ajax,4625
37,"python,django,django-views",python,434
38,"python,django,django-views",django,434
39,"python,django,django-views",django-views,434
40,"python,list,list-comprehension",python,312
41,"python,list,list-comprehension",list,312
42,"python,list,list-comprehension",list-comprehension,312
43,"android,android-sqlite",android,516
44,"android,android-sqlite",android-sqlite,516
45,"android,imageview",android,389
46,"android,imageview",imageview,389
47,"javascript,php,jquery,html,css",javascript,632
48,"javascript,php,jquery,html,css",php,632
49,"javascript,php,jquery,html,css",jquery,632
50,"javascript,php,jquery,html,css",html,632
51,"javascript,php,jquery,html,css",css,632
52,"jquery,html",jquery,6334
53,"jquery,html",html,6334
54,"python,matplotlib",python,5279
55,"python,matplotlib",matplotlib,5279
56,"python,python-3.x,tkinter",python,1047
57,"python,python-3.x,tkinter",python-3.x,1047
58,"python,python-3.x,tkinter",tkinter,1047
59,"sql,oracle11g",sql,533
60,"sql,oracle11g",oracle11g,533
61,"android,navigation-drawer",android,345
62,"android,navigation-drawer",navigation-drawer,345
63,"apache-flink,flink-streaming",apache-flink,339
64,"apache-flink,flink-streaming",flink-streaming,339
65,"bash,shell,unix",bash,464
66,"bash,shell,unix",shell,464
67,"bash,shell,unix",unix,464
68,"python,wxpython",python,542
69,"python,wxpython",wxpython,542
70,"c#,excel",c#,575
71,"c#,excel",excel,575
72,"c#,oop",c#,536
73,"c#,oop",oop,536
74,"excel,excel-formula,excel-2010",excel,337
75,"excel,excel-formula,excel-2010",excel-formula,337
76,"excel,excel-formula,excel-2010",excel-2010,337
77,"java,regex,string",java,894
78,"java,regex,string",regex,894
79,"java,regex,string",string,894
80,"c++,eigen",c++,307
81,"c++,eigen",eigen,307
82,"emacs,elisp",emacs,792
83,"emacs,elisp",elisp,792
84,"excel,excel-formula",excel,4153
85,"excel,excel-formula",excel-formula,4153
86,"javascript,css,reactjs",javascript,364
87,"javascript,css,reactjs",css,364
88,"javascript,css,reactjs",reactjs,364
89,"javascript,highcharts",javascript,1692
90,"javascript,highcharts",highcharts,1692
91,"ruby-on-rails,activeadmin",ruby-on-rails,351
92,"ruby-on-rails,activeadmin",activeadmin,351
93,"xml,xslt,xslt-1.0",xml,665
94,"xml,xslt,xslt-1.0",xslt,665
95,"xml,xslt,xslt-1.0",xslt-1.0,665
96,"java,jpa",java,418
97,"java,jpa",jpa,418
98,"java,spring,hibernate",java,696
99,"java,spring,hibernate",spring,696
100,"java,spring,hibernate",hibernate,696
101,"javascript,jquery,html,css,twitter-bootstrap",javascript,1940
102,"javascript,jquery,html,css,twitter-bootstrap",jquery,1940
103,"javascript,jquery,html,css,twitter-bootstrap",html,1940
104,"javascript,jquery,html,css,twitter-bootstrap",css,1940
105,"javascript,jquery,html,css,twitter-bootstrap",twitter-bootstrap,1940
106,"php,magento",php,1314
107,"php,magento",magento,1314
108,"sql,vba,ms-access",sql,323
109,"sql,vba,ms-access",vba,323
110,"sql,vba,ms-access",ms-access,323
111,"batch-file,cmd",batch-file,1099
112,"batch-file,cmd",cmd,1099
113,"c++,qt",c++,3357
114,"c++,qt",qt,3357
115,"javascript,cookies",javascript,333
116,"javascript,cookies",cookies,333
117,"c#,elasticsearch,nest",c#,324
118,"c#,elasticsearch,nest",elasticsearch,324
