,Original_Tags,Tags,YearTagCount
0,"html,css",html,7416
1,"html,css",css,7416
2,"php,regex",php,708
3,"php,regex",regex,708
4,"php,arrays,multidimensional-array",php,306
5,"php,arrays,multidimensional-array",arrays,306
6,"php,arrays,multidimensional-array",multidimensional-array,306
7,"css,twitter-bootstrap",css,438
8,"css,twitter-bootstrap",twitter-bootstrap,438
9,"angular,angular2-routing",angular,431
10,"angular,angular2-routing",angular2-routing,431
11,"android,android-layout",android,519
12,"android,android-layout",android-layout,519
13,"php,laravel",php,872
14,"php,laravel",laravel,872
15,"python,regex",python,901
16,"python,regex",regex,901
17,"git,github",git,473
18,"git,github",github,473
19,"r,dplyr",r,519
20,"r,dplyr",dplyr,519
21,"c#,entity-framework",c#,418
22,"c#,entity-framework",entity-framework,418
23,"ruby-on-rails,ruby-on-rails-4",ruby-on-rails,337
24,"ruby-on-rails,ruby-on-rails-4",ruby-on-rails-4,337
25,"mysql,sql",mysql,2433
26,"mysql,sql",sql,2433
27,"python,csv",python,372
28,"python,csv",csv,372
29,"php,mysql,mysqli",php,351
30,"php,mysql,mysqli",mysql,351
31,"php,mysql,mysqli",mysqli,351
32,"sql,postgresql",sql,747
33,"sql,postgresql",postgresql,747
34,"javascript,angularjs",javascript,3484
35,"javascript,angularjs",angularjs,3484
36,"ruby-on-rails,ruby",ruby-on-rails,1229
37,"ruby-on-rails,ruby",ruby,1229
38,"php,laravel,laravel-5",php,355
39,"php,laravel,laravel-5",laravel,355
40,"php,laravel,laravel-5",laravel-5,355
41,"javascript,jquery,ajax",javascript,638
42,"javascript,jquery,ajax",jquery,638
43,"javascript,jquery,ajax",ajax,638
44,"jquery,html",jquery,656
45,"jquery,html",html,656
46,"python,matplotlib",python,619
47,"python,matplotlib",matplotlib,619
48,"excel,excel-formula",excel,526
49,"excel,excel-formula",excel-formula,526
50,"javascript,jquery,html,css,twitter-bootstrap",javascript,449
51,"javascript,jquery,html,css,twitter-bootstrap",jquery,449
52,"javascript,jquery,html,css,twitter-bootstrap",html,449
53,"javascript,jquery,html,css,twitter-bootstrap",css,449
54,"javascript,jquery,html,css,twitter-bootstrap",twitter-bootstrap,449
55,"c++,qt",c++,489
56,"c++,qt",qt,489
57,"node.js,mongodb,mongoose",node.js,387
58,"node.js,mongodb,mongoose",mongodb,387
