,Original_Tags,Tags,YearTagCount
0,"android,xml",android,442
1,"android,xml",xml,442
2,"javascript,d3.js,svg",javascript,423
3,"javascript,d3.js,svg",d3.js,423
4,"javascript,d3.js,svg",svg,423
5,"php,html",php,2232
6,"php,html",html,2232
7,"python,tkinter",python,1454
8,"python,tkinter",tkinter,1454
9,"swift,swift3",swift,338
10,"swift,swift3",swift3,338
11,"php,jquery,ajax",php,692
12,"php,jquery,ajax",jquery,692
13,"php,jquery,ajax",ajax,692
14,"javascript,node.js,express",javascript,875
15,"javascript,node.js,express",node.js,875
16,"javascript,node.js,express",express,875
17,"windows,batch-file",windows,471
18,"windows,batch-file",batch-file,471
19,"reactjs,typescript",reactjs,318
20,"reactjs,typescript",typescript,318
21,"python,python-2.7",python,2413
22,"python,python-2.7",python-2.7,2413
23,"ruby,regex",ruby,367
24,"ruby,regex",regex,367
25,"python,arrays,numpy",python,1399
26,"python,arrays,numpy",arrays,1399
27,"python,arrays,numpy",numpy,1399
28,"angularjs,angularjs-directive",angularjs,413
29,"angularjs,angularjs-directive",angularjs-directive,413
30,"ios,swift,xcode",ios,745
31,"ios,swift,xcode",swift,745
32,"ios,swift,xcode",xcode,745
33,"python,flask",python,677
34,"python,flask",flask,677
35,"c#,sql-server",c#,485
36,"c#,sql-server",sql-server,485
37,"java,android,json",java,348
38,"java,android,json",android,348
39,"java,android,json",json,348
40,"c#,regex",c#,1213
41,"c#,regex",regex,1213
42,"docker,dockerfile",docker,458
43,"docker,dockerfile",dockerfile,458
44,"xml,xslt",xml,1227
45,"xml,xslt",xslt,1227
46,"java,hibernate,jpa",java,306
47,"java,hibernate,jpa",hibernate,306
48,"java,hibernate,jpa",jpa,306
49,"java,selenium",java,351
50,"java,selenium",selenium,351
51,"java,string",java,626
52,"java,string",string,626
53,"html,twitter-bootstrap,css",html,305
54,"html,twitter-bootstrap,css",twitter-bootstrap,305
55,"html,twitter-bootstrap,css",css,305
56,"php,mysql,database",php,364
57,"php,mysql,database",mysql,364
58,"php,mysql,database",database,364
59,"azure,azure-functions",azure,308
60,"azure,azure-functions",azure-functions,308
61,"c#,asp.net-mvc",c#,1169
62,"c#,asp.net-mvc",asp.net-mvc,1169
63,"javascript,jquery,html,twitter-bootstrap",javascript,303
64,"javascript,jquery,html,twitter-bootstrap",jquery,303
65,"javascript,jquery,html,twitter-bootstrap",html,303
66,"javascript,jquery,html,twitter-bootstrap",twitter-bootstrap,303
67,"java,selenium,selenium-webdriver",java,324
68,"java,selenium,selenium-webdriver",selenium,324
69,"java,selenium,selenium-webdriver",selenium-webdriver,324
70,"sql,oracle",sql,3635
71,"sql,oracle",oracle,3635
72,"ios,objective-c,uitableview",ios,411
73,"ios,objective-c,uitableview",objective-c,411
74,"ios,objective-c,uitableview",uitableview,411
75,"angular,angular-cli",angular,463
76,"angular,angular-cli",angular-cli,463
77,"python,beautifulsoup",python,765
78,"python,beautifulsoup",beautifulsoup,765
79,"python,django,django-rest-framework",python,740
80,"python,django,django-rest-framework",django,740
81,"python,django,django-rest-framework",django-rest-framework,740
82,"python,opencv",python,448
83,"python,opencv",opencv,448
84,"java,arrays",java,1580
85,"java,arrays",arrays,1580
86,"angular,typescript",angular,2637
87,"angular,typescript",typescript,2637
88,"c#,uwp",c#,412
