,Original_Tags,Tags,YearTagCount
0,"android,xml",android,858
1,"android,xml",xml,858
2,"php,html",php,4301
3,"php,html",html,4301
4,"python,tkinter",python,1301
5,"python,tkinter",tkinter,1301
6,"shell,unix",shell,369
7,"shell,unix",unix,369
8,"java,jsoup",java,311
9,"java,jsoup",jsoup,311
10,"php,jquery,ajax",php,1620
11,"php,jquery,ajax",jquery,1620
12,"php,jquery,ajax",ajax,1620
13,"c#,sql,linq",c#,333
14,"c#,sql,linq",sql,333
15,"c#,sql,linq",linq,333
16,"javascript,node.js,express",javascript,760
17,"javascript,node.js,express",node.js,760
18,"javascript,node.js,express",express,760
19,"python,function",python,324
20,"python,function",function,324
21,"windows,batch-file",windows,806
22,"windows,batch-file",batch-file,806
23,"java,android,listview",java,313
24,"java,android,listview",android,313
25,"java,android,listview",listview,313
26,"android,facebook",android,725
27,"android,facebook",facebook,725
28,"jquery,validation",jquery,308
29,"jquery,validation",validation,308
30,"python,python-2.7",python,3431
31,"python,python-2.7",python-2.7,3431
32,"ruby,regex",ruby,1233
33,"ruby,regex",regex,1233
34,"python,arrays,numpy",python,1028
35,"python,arrays,numpy",arrays,1028
36,"python,arrays,numpy",numpy,1028
37,"jquery,json",jquery,967
38,"jquery,json",json,967
39,"angularjs,angularjs-directive",angularjs,1647
40,"angularjs,angularjs-directive",angularjs-directive,1647
41,"php,multidimensional-array",php,401
42,"php,multidimensional-array",multidimensional-array,401
43,"python,flask",python,673
44,"python,flask",flask,673
45,"python,numpy,pandas",python,394
46,"python,numpy,pandas",numpy,394
47,"python,numpy,pandas",pandas,394
48,"c#,list",c#,567
49,"c#,list",list,567
50,"c#,sql-server",c#,671
51,"c#,sql-server",sql-server,671
52,"java,android,json",java,571
53,"java,android,json",android,571
54,"java,android,json",json,571
55,"python,recursion",python,311
56,"python,recursion",recursion,311
57,"laravel,laravel-4",laravel,639
58,"laravel,laravel-4",laravel-4,639
59,"objective-c,cocoa",objective-c,807
60,"objective-c,cocoa",cocoa,807
61,"android,bluetooth",android,320
62,"android,bluetooth",bluetooth,320
63,"c#,asp.net-mvc-3",c#,591
64,"c#,asp.net-mvc-3",asp.net-mvc-3,591
65,"c#,regex",c#,3143
66,"c#,regex",regex,3143
67,"scala,sbt",scala,536
68,"scala,sbt",sbt,536
69,"xml,xslt",xml,2446
70,"xml,xslt",xslt,2446
71,"android,android-ndk",android,397
72,"android,android-ndk",android-ndk,397
73,"c++,templates,c++11",c++,400
74,"c++,templates,c++11",templates,400
75,"c++,templates,c++11",c++11,400
76,"c++,winapi",c++,736
77,"c++,winapi",winapi,736
78,"android,android-animation",android,351
79,"android,android-animation",android-animation,351
80,"java,hibernate,jpa",java,592
81,"java,hibernate,jpa",hibernate,592
82,"java,hibernate,jpa",jpa,592
83,"javascript,google-chrome-extension",javascript,569
84,"javascript,google-chrome-extension",google-chrome-extension,569
85,"sql,sql-server,sql-server-2008,tsql",sql,794
86,"sql,sql-server,sql-server-2008,tsql",sql-server,794
87,"sql,sql-server,sql-server-2008,tsql",sql-server-2008,794
88,"sql,sql-server,sql-server-2008,tsql",tsql,794
89,"php,mongodb",php,457
90,"php,mongodb",mongodb,457
91,"ruby-on-rails,heroku",ruby-on-rails,458
92,"ruby-on-rails,heroku",heroku,458
93,"android,sharedpreferences",android,551
