,Original_Tags,Tags,YearTagCount
0,"android,xml",android,720
1,"android,xml",xml,720
2,"javascript,d3.js,svg",javascript,594
3,"javascript,d3.js,svg",d3.js,594
4,"javascript,d3.js,svg",svg,594
5,"php,html",php,3608
6,"php,html",html,3608
7,"python,tkinter",python,2443
8,"python,tkinter",tkinter,2443
9,"swift,swift3",swift,342
10,"swift,swift3",swift3,342
11,"android,gradle",android,458
12,"android,gradle",gradle,458
13,"ios,swift,realm",ios,349
14,"ios,swift,realm",swift,349
15,"ios,swift,realm",realm,349
16,"php,jquery,ajax",php,1110
17,"php,jquery,ajax",jquery,1110
18,"php,jquery,ajax",ajax,1110
19,"r,for-loop",r,364
20,"r,for-loop",for-loop,364
21,"bash,awk,sed",bash,399
22,"bash,awk,sed",awk,399
23,"bash,awk,sed",sed,399
24,"javascript,node.js,express",javascript,1407
25,"javascript,node.js,express",node.js,1407
26,"javascript,node.js,express",express,1407
27,"python,function",python,451
28,"python,function",function,451
29,"windows,batch-file",windows,772
30,"windows,batch-file",batch-file,772
31,"java,android,listview",java,310
32,"java,android,listview",android,310
33,"java,android,listview",listview,310
34,"python,bokeh",python,360
35,"python,bokeh",bokeh,360
36,"r,date",r,330
37,"r,date",date,330
38,"reactjs,typescript",reactjs,640
39,"reactjs,typescript",typescript,640
40,"python,python-2.7",python,3744
41,"python,python-2.7",python-2.7,3744
42,"ruby,regex",ruby,592
43,"ruby,regex",regex,592
44,"javascript,google-apps-script,google-sheets",javascript,443
45,"javascript,google-apps-script,google-sheets",google-apps-script,443
46,"javascript,google-apps-script,google-sheets",google-sheets,443
47,"python,arrays,numpy",python,2109
48,"python,arrays,numpy",arrays,2109
49,"python,arrays,numpy",numpy,2109
50,"java,spring-boot",java,452
51,"java,spring-boot",spring-boot,452
52,"jquery,json",jquery,405
53,"jquery,json",json,405
54,"angularjs,angularjs-directive",angularjs,912
55,"angularjs,angularjs-directive",angularjs-directive,912
56,"ios,swift,xcode",ios,953
57,"ios,swift,xcode",swift,953
58,"ios,swift,xcode",xcode,953
59,"python,flask",python,1158
60,"python,flask",flask,1158
61,"r,dataframe,dplyr",r,371
62,"r,dataframe,dplyr",dataframe,371
63,"r,dataframe,dplyr",dplyr,371
64,"c#,list",c#,475
65,"c#,list",list,475
66,"c#,sql-server",c#,781
67,"c#,sql-server",sql-server,781
68,"java,android,json",java,561
69,"java,android,json",android,561
70,"java,android,json",json,561
71,"python,recursion",python,467
72,"python,recursion",recursion,467
73,"regex,powershell",regex,395
74,"regex,powershell",powershell,395
75,"javascript,jquery,html,angularjs",javascript,408
76,"javascript,jquery,html,angularjs",jquery,408
77,"javascript,jquery,html,angularjs",html,408
78,"javascript,jquery,html,angularjs",angularjs,408
79,"python,xml",python,380
80,"python,xml",xml,380
81,"c#,regex",c#,2122
82,"c#,regex",regex,2122
83,"docker,dockerfile",docker,696
84,"docker,dockerfile",dockerfile,696
85,"scala,sbt",scala,452
86,"scala,sbt",sbt,452
87,"vba,outlook",vba,489
88,"vba,outlook",outlook,489
89,"xml,xslt",xml,2060
90,"xml,xslt",xslt,2060
91,"c++,winapi",c++,480
92,"c++,winapi",winapi,480
93,"python,python-3.x,python-2.7",python,369
94,"python,python-3.x,python-2.7",python-3.x,369
95,"python,python-3.x,python-2.7",python-2.7,369
96,"java,hibernate,jpa",java,505
97,"java,hibernate,jpa",hibernate,505
98,"java,hibernate,jpa",jpa,505
99,"java,selenium",java,553
100,"java,selenium",selenium,553
101,"javascript,google-chrome-extension",javascript,437
102,"javascript,google-chrome-extension",google-chrome-extension,437
103,"python,keras",python,371
104,"python,keras",keras,371
105,"java,string",java,1109
106,"java,string",string,1109
107,"mongodb,meteor",mongodb,433
108,"mongodb,meteor",meteor,433
109,"reactjs,react-redux",reactjs,395
110,"reactjs,react-redux",react-redux,395
111,"ios,uitableview",ios,377
112,"ios,uitableview",uitableview,377
113,"c++,boost",c++,414
114,"c++,boost",boost,414
115,"html,twitter-bootstrap,css",html,381
116,"html,twitter-bootstrap,css",twitter-bootstrap,381
117,"html,twitter-bootstrap,css",css,381
118,"ios,swift,core-data",ios,479
119,"ios,swift,core-data",swift,479
120,"ios,swift,core-data",core-data,479
121,"php,mysql,database",php,654
122,"php,mysql,database",mysql,654
123,"php,mysql,database",database,654
124,"android,sqlite,android-sqlite",android,366
125,"android,sqlite,android-sqlite",sqlite,366
126,"android,sqlite,android-sqlite",android-sqlite,366
127,"azure,azure-functions",azure,371
128,"azure,azure-functions",azure-functions,371
129,"c#,asp.net-mvc",c#,1873
130,"c#,asp.net-mvc",asp.net-mvc,1873
131,"javascript,jquery,html,twitter-bootstrap",javascript,487
132,"javascript,jquery,html,twitter-bootstrap",jquery,487
133,"javascript,jquery,html,twitter-bootstrap",html,487
134,"javascript,jquery,html,twitter-bootstrap",twitter-bootstrap,487
135,"python,django,django-forms",python,339
136,"python,django,django-forms",django,339
137,"python,django,django-forms",django-forms,339
138,"wordpress,wordpress-theming",wordpress,305
139,"wordpress,wordpress-theming",wordpress-theming,305
140,"android,google-play",android,342
141,"android,google-play",google-play,342
142,"apache,.htaccess,mod-rewrite",apache,495
143,"apache,.htaccess,mod-rewrite",.htaccess,495
144,"apache,.htaccess,mod-rewrite",mod-rewrite,495
145,"java,selenium,selenium-webdriver",java,508
146,"java,selenium,selenium-webdriver",selenium,508
147,"java,selenium,selenium-webdriver",selenium-webdriver,508
148,"javascript,google-apps-script",javascript,431
149,"javascript,google-apps-script",google-apps-script,431
150,"node.js,mongodb,express,mongoose",node.js,446
151,"node.js,mongodb,express,mongoose",mongodb,446
152,"node.js,mongodb,express,mongoose",express,446
153,"node.js,mongodb,express,mongoose",mongoose,446
154,"python,html,django",python,377
155,"python,html,django",html,377
156,"python,html,django",django,377
157,"sql,oracle",sql,5796
158,"sql,oracle",oracle,5796
159,"ios,objective-c,uitableview",ios,846
160,"ios,objective-c,uitableview",objective-c,846
161,"ios,objective-c,uitableview",uitableview,846
162,"java,json,gson",java,404
163,"java,json,gson",json,404
164,"java,json,gson",gson,404
165,"javascript,node.js,promise",javascript,368
166,"javascript,node.js,promise",node.js,368
167,"javascript,node.js,promise",promise,368
168,"angular,angular-cli",angular,524
169,"angular,angular-cli",angular-cli,524
170,"c#,.net,linq",c#,437
171,"c#,.net,linq",.net,437
172,"c#,.net,linq",linq,437
173,"python,multiprocessing",python,351
174,"python,multiprocessing",multiprocessing,351
175,"ios,objective-c,xcode",ios,388
176,"ios,objective-c,xcode",objective-c,388
177,"ios,objective-c,xcode",xcode,388
178,"javascript,jquery,html,forms",javascript,407
179,"javascript,jquery,html,forms",jquery,407
180,"javascript,jquery,html,forms",html,407
181,"javascript,jquery,html,forms",forms,407
182,"python,beautifulsoup",python,1230
183,"python,beautifulsoup",beautifulsoup,1230
184,"python,django,django-rest-framework",python,1176
185,"python,django,django-rest-framework",django,1176
186,"python,django,django-rest-framework",django-rest-framework,1176
187,"python,opencv",python,764
188,"python,opencv",opencv,764
189,"c,scanf",c,385
190,"c,scanf",scanf,385
191,"java,arrays",java,2688
192,"java,arrays",arrays,2688
193,"angular,typescript",angular,3719
194,"angular,typescript",typescript,3719
195,"javascript,angularjs,angularjs-directive",javascript,643
196,"javascript,angularjs,angularjs-directive",angularjs,643
197,"javascript,angularjs,angularjs-directive",angularjs-directive,643
198,"javascript,jquery,json,ajax",javascript,347
199,"javascript,jquery,json,ajax",jquery,347
200,"javascript,jquery,json,ajax",json,347
201,"javascript,jquery,json,ajax",ajax,347
202,"python,numpy,matplotlib",python,372
203,"python,numpy,matplotlib",numpy,372
204,"python,numpy,matplotlib",matplotlib,372
205,"c#,uwp",c#,539
206,"c#,uwp",uwp,539
207,"javascript,vue.js,vuejs2,vue-component",javascript,386
208,"javascript,vue.js,vuejs2,vue-component",vue.js,386
209,"javascript,vue.js,vuejs2,vue-component",vuejs2,386
210,"javascript,vue.js,vuejs2,vue-component",vue-component,386
211,"jquery,html,css,twitter-bootstrap",jquery,508
212,"jquery,html,css,twitter-bootstrap",html,508
213,"jquery,html,css,twitter-bootstrap",css,508
214,"jquery,html,css,twitter-bootstrap",twitter-bootstrap,508
215,"mysql,sql,select",mysql,311
216,"mysql,sql,select",sql,311
217,"mysql,sql,select",select,311
218,"php,wordpress",php,3545
219,"php,wordpress",wordpress,3545
220,"python,django,python-3.x",python,331
221,"python,django,python-3.x",django,331
222,"python,django,python-3.x",python-3.x,331
223,"android,parse-platform",android,315
224,"android,parse-platform",parse-platform,315
225,"javascript,function",javascript,585
226,"javascript,function",function,585
227,"javascript,reactjs,redux",javascript,833
228,"javascript,reactjs,redux",reactjs,833
229,"javascript,reactjs,redux",redux,833
230,"mysql,node.js",mysql,319
231,"mysql,node.js",node.js,319
232,"php,json",php,1701
233,"php,json",json,1701
234,"php,mysql,laravel,eloquent",php,336
235,"php,mysql,laravel,eloquent",mysql,336
236,"php,mysql,laravel,eloquent",laravel,336
237,"php,mysql,laravel,eloquent",eloquent,336
238,"reactjs,react-native",reactjs,1118
239,"reactjs,react-native",react-native,1118
240,"python,pandas,dataframe",python,6688
241,"python,pandas,dataframe",pandas,6688
242,"python,pandas,dataframe",dataframe,6688
243,"r,shiny",r,2142
244,"r,shiny",shiny,2142
245,"sql-server,sql-server-2012",sql-server,366
246,"sql-server,sql-server-2012",sql-server-2012,366
247,"java,hibernate",java,917
248,"java,hibernate",hibernate,917
249,"vba,ms-word",vba,895
250,"vba,ms-word",ms-word,895
251,"c++,algorithm",c++,360
252,"c++,algorithm",algorithm,360
