,Tags,Year,count
0,['wpf'],2008,45
1,['wpf'],2009,96
2,['wpf'],2010,408
3,['wpf'],2011,385
4,['wpf'],2012,332
5,['wpf'],2013,239
6,['wpf'],2014,202
7,['wpf'],2015,158
8,['wpf'],2016,149
9,['wpf'],2017,124
10,['wpf'],2018,114
11,['wpf'],2019,91
12,['wpf'],2020,55
