,Original_Tags,Tags,YearTagCount
0,"c#,json.net",c#,339
1,"c#,json.net",json.net,339
2,"python,django,django-models",python,695
3,"python,django,django-models",django,695
4,"python,django,django-models",django-models,695
5,"python,tensorflow,keras",python,858
6,"python,tensorflow,keras",tensorflow,858
7,"python,tensorflow,keras",keras,858
8,"php,laravel,laravel-5",php,1109
9,"php,laravel,laravel-5",laravel,1109
10,"php,laravel,laravel-5",laravel-5,1109
11,"angular,angular-material",angular,1246
12,"angular,angular-material",angular-material,1246
13,"django,django-templates",django,333
14,"django,django-templates",django-templates,333
15,"javascript,jquery,ajax",javascript,1257
16,"javascript,jquery,ajax",jquery,1257
17,"javascript,jquery,ajax",ajax,1257
18,"jquery,html",jquery,1465
19,"jquery,html",html,1465
20,"python,matplotlib",python,2787
21,"python,matplotlib",matplotlib,2787
22,"python,python-3.x,tkinter",python,740
23,"python,python-3.x,tkinter",python-3.x,740
24,"python,python-3.x,tkinter",tkinter,740
25,"excel,excel-formula",excel,2431
26,"excel,excel-formula",excel-formula,2431
27,"javascript,css,reactjs",javascript,316
28,"javascript,css,reactjs",css,316
29,"javascript,css,reactjs",reactjs,316
30,"javascript,highcharts",javascript,660
31,"javascript,highcharts",highcharts,660
32,"javascript,jquery,html,css,twitter-bootstrap",javascript,503
33,"javascript,jquery,html,css,twitter-bootstrap",jquery,503
34,"javascript,jquery,html,css,twitter-bootstrap",html,503
35,"javascript,jquery,html,css,twitter-bootstrap",css,503
36,"javascript,jquery,html,css,twitter-bootstrap",twitter-bootstrap,503
37,"batch-file,cmd",batch-file,492
38,"batch-file,cmd",cmd,492
39,"c++,qt",c++,981
40,"c++,qt",qt,981
41,"node.js,mongodb,mongoose",node.js,1177
42,"node.js,mongodb,mongoose",mongodb,1177
43,"node.js,mongodb,mongoose",mongoose,1177
44,"php,symfony",php,497
45,"php,symfony",symfony,497
46,"html,css,twitter-bootstrap,bootstrap-4",html,523
47,"html,css,twitter-bootstrap,bootstrap-4",css,523
48,"html,css,twitter-bootstrap,bootstrap-4",twitter-bootstrap,523
49,"html,css,twitter-bootstrap,bootstrap-4",bootstrap-4,523
50,"html,css,sass",html,325
51,"html,css,sass",css,325
52,"html,css,sass",sass,325
53,"javascript,object",javascript,477
54,"javascript,object",object,477
55,"java,algorithm",java,321
56,"java,algorithm",algorithm,321
57,"java,multithreading",java,764
58,"java,multithreading",multithreading,764
59,"json,jq",json,391
60,"json,jq",jq,391
61,"sql,sql-server",sql,8747
62,"sql,sql-server",sql-server,8747
63,"javascript,jquery",javascript,12601
64,"javascript,jquery",jquery,12601
65,"python-3.x,pandas,dataframe",python-3.x,532
66,"python-3.x,pandas,dataframe",pandas,532
67,"python-3.x,pandas,dataframe",dataframe,532
68,"spring,spring-boot",spring,365
69,"spring,spring-boot",spring-boot,365
70,"apache-spark,pyspark",apache-spark,438
71,"apache-spark,pyspark",pyspark,438
72,"javascript,vue.js,vuejs2",javascript,1025
73,"javascript,vue.js,vuejs2",vue.js,1025
74,"javascript,vue.js,vuejs2",vuejs2,1025
75,"php,arrays",php,3129
76,"php,arrays",arrays,3129
77,"android,firebase,firebase-realtime-database",android,1368
78,"android,firebase,firebase-realtime-database",firebase,1368
79,"android,firebase,firebase-realtime-database",firebase-realtime-database,1368
80,"excel,vba",excel,10445
81,"excel,vba",vba,10445
82,"neo4j,cypher",neo4j,1232
83,"neo4j,cypher",cypher,1232
84,"python,pandas",python,17330
85,"python,pandas",pandas,17330
86,"javascript,angular,typescript",javascript,1694
87,"javascript,angular,typescript",angular,1694
88,"javascript,angular,typescript",typescript,1694
89,"python,pandas,datetime",python,684
90,"python,pandas,datetime",pandas,684
91,"python,pandas,datetime",datetime,684
92,"c#,visual-studio",c#,451
93,"c#,visual-studio",visual-studio,451
94,"c++,string",c++,305
95,"c++,string",string,305
96,"java,json,jackson",java,316
97,"java,json,jackson",json,316
98,"java,json,jackson",jackson,316
99,"apache-spark,apache-spark-sql",apache-spark,463
100,"apache-spark,apache-spark-sql",apache-spark-sql,463
101,"c#,json",c#,635
102,"c#,json",json,635
103,"java,android,xml",java,393
104,"java,android,xml",android,393
105,"java,android,xml",xml,393
106,"python,python-3.x,numpy",python,389
107,"python,python-3.x,numpy",python-3.x,389
108,"python,python-3.x,numpy",numpy,389
109,"tensorflow,keras",tensorflow,320
110,"tensorflow,keras",keras,320
111,"java,android,android-studio",java,769
112,"java,android,android-studio",android,769
113,"java,android,android-studio",android-studio,769
114,"javascript,node.js,discord.js",javascript,320
115,"javascript,node.js,discord.js",node.js,320
116,"javascript,node.js,discord.js",discord.js,320
117,"php,mysql,laravel",php,753
118,"php,mysql,laravel",mysql,753
119,"php,mysql,laravel",laravel,753
120,"python,loops",python,343
121,"python,loops",loops,343
122,"android,firebase",android,318
123,"android,firebase",firebase,318
124,"java,json",java,522
125,"java,json",json,522
126,"python,selenium",python,957
127,"python,selenium",selenium,957
128,"java,android,firebase,firebase-realtime-database",java,1099
129,"java,android,firebase,firebase-realtime-database",android,1099
130,"java,android,firebase,firebase-realtime-database",firebase,1099
131,"java,android,firebase,firebase-realtime-database",firebase-realtime-database,1099
132,"oracle,plsql",oracle,765
133,"oracle,plsql",plsql,765
134,"java,intellij-idea",java,349
135,"java,intellij-idea",intellij-idea,349
136,"javascript,ecmascript-6",javascript,1584
137,"javascript,ecmascript-6",ecmascript-6,1584
138,"python,pyqt,pyqt5",python,422
139,"python,pyqt,pyqt5",pyqt,422
140,"python,pyqt,pyqt5",pyqt5,422
141,"scala,apache-spark",scala,1367
142,"scala,apache-spark",apache-spark,1367
143,"php,mysql",php,5102
144,"php,mysql",mysql,5102
145,"python,list,dictionary",python,729
146,"python,list,dictionary",list,729
147,"python,list,dictionary",dictionary,729
148,"android,kotlin",android,1571
149,"android,kotlin",kotlin,1571
150,"c#,asp.net,asp.net-mvc",c#,419
151,"c#,asp.net,asp.net-mvc",asp.net,419
152,"c#,asp.net,asp.net-mvc",asp.net-mvc,419
153,"django,python-3.x",django,371
154,"django,python-3.x",python-3.x,371
155,"php,jquery",php,409
156,"php,jquery",jquery,409
157,"python,pandas,csv",python,626
158,"python,pandas,csv",pandas,626
159,"python,pandas,csv",csv,626
160,"ruby-on-rails,activerecord",ruby-on-rails,442
161,"ruby-on-rails,activerecord",activerecord,442
162,"html,css,bootstrap-4",html,1351
163,"html,css,bootstrap-4",css,1351
164,"html,css,bootstrap-4",bootstrap-4,1351
165,"php,curl",php,319
166,"php,curl",curl,319
167,"javascript,html,css",javascript,6265
168,"javascript,html,css",html,6265
169,"javascript,html,css",css,6265
170,"javascript,angular",javascript,1756
171,"javascript,angular",angular,1756
172,"makefile,gnu-make",makefile,386
173,"makefile,gnu-make",gnu-make,386
174,"python,pandas,numpy",python,1626
175,"python,pandas,numpy",pandas,1626
176,"python,pandas,numpy",numpy,1626
177,"javascript,ajax",javascript,385
178,"javascript,ajax",ajax,385
179,"javascript,jquery,html,ajax",javascript,346
180,"javascript,jquery,html,ajax",jquery,346
181,"javascript,jquery,html,ajax",html,346
182,"javascript,jquery,html,ajax",ajax,346
183,"c++,c++11",c++,1450
184,"c++,c++11",c++11,1450
185,"javascript,arrays,reactjs",javascript,432
186,"javascript,arrays,reactjs",arrays,432
187,"javascript,arrays,reactjs",reactjs,432
188,"jquery,html,css",jquery,1277
189,"jquery,html,css",html,1277
190,"jquery,html,css",css,1277
191,"react-native,expo",react-native,330
192,"react-native,expo",expo,330
193,"c++,arrays",c++,560
194,"c++,arrays",arrays,560
195,"javascript,arrays,json",javascript,500
196,"javascript,arrays,json",arrays,500
197,"javascript,arrays,json",json,500
198,"javascript,three.js",javascript,576
199,"javascript,three.js",three.js,576
200,"node.js,npm",node.js,345
201,"node.js,npm",npm,345
202,"sql,sqlite",sql,719
203,"sql,sqlite",sqlite,719
204,"javascript,jquery,arrays",javascript,459
205,"javascript,jquery,arrays",jquery,459
206,"javascript,jquery,arrays",arrays,459
207,"r,dataframe",r,2113
208,"r,dataframe",dataframe,2113
209,"java,hashmap",java,319
210,"java,hashmap",hashmap,319
211,"javascript,dom",javascript,453
212,"javascript,dom",dom,453
213,"javascript,momentjs",javascript,455
214,"javascript,momentjs",momentjs,455
215,"python,python-3.x,pandas,dataframe",python,936
216,"python,python-3.x,pandas,dataframe",python-3.x,936
217,"python,python-3.x,pandas,dataframe",pandas,936
218,"python,python-3.x,pandas,dataframe",dataframe,936
219,"r,matrix",r,373
220,"r,matrix",matrix,373
221,"javascript,html,jquery",javascript,588
222,"javascript,html,jquery",html,588
223,"javascript,html,jquery",jquery,588
224,"javascript,json,angularjs",javascript,538
225,"javascript,json,angularjs",json,538
226,"javascript,json,angularjs",angularjs,538
227,"javascript,php,jquery",javascript,690
228,"javascript,php,jquery",php,690
229,"javascript,php,jquery",jquery,690
230,"php,codeigniter",php,1203
231,"php,codeigniter",codeigniter,1203
232,"c#,asp.net-core",c#,786
233,"c#,asp.net-core",asp.net-core,786
234,"javascript,jquery,json",javascript,574
235,"javascript,jquery,json",jquery,574
236,"javascript,jquery,json",json,574
237,"django,django-models",django,895
238,"django,django-models",django-models,895
239,"ios,objective-c",ios,668
240,"ios,objective-c",objective-c,668
241,"javascript,reactjs",javascript,9406
242,"javascript,reactjs",reactjs,9406
243,"php,ajax",php,306
244,"php,ajax",ajax,306
245,"python-3.x,pandas",python-3.x,1444
246,"python-3.x,pandas",pandas,1444
247,"android,android-fragments",android,607
248,"android,android-fragments",android-fragments,607
249,"java,java-8",java,560
250,"java,java-8",java-8,560
251,"javascript,lodash",javascript,550
252,"javascript,lodash",lodash,550
253,"javascript,typescript",javascript,1451
254,"javascript,typescript",typescript,1451
255,"mysql,sql,database",mysql,798
256,"mysql,sql,database",sql,798
257,"mysql,sql,database",database,798
258,"apache-kafka,apache-kafka-streams",apache-kafka,366
259,"apache-kafka,apache-kafka-streams",apache-kafka-streams,366
260,"javascript,arrays,sorting",javascript,417
261,"javascript,arrays,sorting",arrays,417
262,"javascript,arrays,sorting",sorting,417
263,"python,scikit-learn",python,479
264,"python,scikit-learn",scikit-learn,479
265,"regex,perl",regex,452
266,"regex,perl",perl,452
267,"c++,c++17",c++,483
268,"c++,c++17",c++17,483
269,"ruby-on-rails,ruby-on-rails-5",ruby-on-rails,402
270,"ruby-on-rails,ruby-on-rails-5",ruby-on-rails-5,402
271,"php,arrays,json",php,474
272,"php,arrays,json",arrays,474
273,"php,arrays,json",json,474
274,"powerbi,dax",powerbi,632
275,"powerbi,dax",dax,632
276,"sql,sql-server,sql-server-2012",sql,381
277,"sql,sql-server,sql-server-2012",sql-server,381
278,"sql,sql-server,sql-server-2012",sql-server-2012,381
279,"python,pygame",python,1303
280,"python,pygame",pygame,1303
281,"r,data.table",r,1387
282,"r,data.table",data.table,1387
283,"c++,templates",c++,806
284,"c++,templates",templates,806
285,"javascript,html,css,reactjs",javascript,320
286,"javascript,html,css,reactjs",html,320
287,"javascript,html,css,reactjs",css,320
288,"javascript,html,css,reactjs",reactjs,320
289,"python,kivy",python,683
290,"python,kivy",kivy,683
291,"java,swing",java,838
292,"java,swing",swing,838
293,"php,html,css",php,399
294,"php,html,css",html,399
295,"php,html,css",css,399
296,"ios,swift,swiftui",ios,504
297,"ios,swift,swiftui",swift,504
298,"ios,swift,swiftui",swiftui,504
299,"javascript,reactjs,redux,react-redux",javascript,489
300,"javascript,reactjs,redux,react-redux",reactjs,489
301,"javascript,reactjs,redux,react-redux",redux,489
302,"javascript,reactjs,redux,react-redux",react-redux,489
303,"javascript,d3.js",javascript,1582
304,"javascript,d3.js",d3.js,1582
305,"python,pytorch",python,309
306,"python,pytorch",pytorch,309
307,"python,sqlalchemy",python,578
308,"python,sqlalchemy",sqlalchemy,578
309,"javascript,promise",javascript,477
310,"javascript,promise",promise,477
311,"php,mysql,pdo",php,614
312,"php,mysql,pdo",mysql,614
313,"php,mysql,pdo",pdo,614
314,"vue.js,vuetify.js",vue.js,467
315,"vue.js,vuetify.js",vuetify.js,467
316,"vue.js,vuejs2",vue.js,875
317,"vue.js,vuejs2",vuejs2,875
318,"python,python-3.x,pygame",python,348
319,"python,python-3.x,pygame",python-3.x,348
320,"python,python-3.x,pygame",pygame,348
321,"javascript,html,angularjs",javascript,660
322,"javascript,html,angularjs",html,660
323,"javascript,html,angularjs",angularjs,660
324,"javascript,reactjs,material-ui",javascript,436
325,"javascript,reactjs,material-ui",reactjs,436
326,"javascript,reactjs,material-ui",material-ui,436
327,"python,python-3.x,dictionary",python,579
328,"python,python-3.x,dictionary",python-3.x,579
329,"python,python-3.x,dictionary",dictionary,579
330,"typescript,typescript-typings",typescript,358
331,"typescript,typescript-typings",typescript-typings,358
332,"javascript,date",javascript,340
333,"javascript,date",date,340
334,"javascript,css",javascript,948
335,"javascript,css",css,948
336,"javascript,php,jquery,ajax",javascript,648
337,"javascript,php,jquery,ajax",php,648
338,"javascript,php,jquery,ajax",jquery,648
339,"javascript,php,jquery,ajax",ajax,648
340,"c#,.net",c#,1342
341,"c#,.net",.net,1342
342,"python,python-3.x",python,10035
343,"python,python-3.x",python-3.x,10035
344,"sql,tsql",sql,435
345,"sql,tsql",tsql,435
346,"angular,rxjs",angular,871
347,"angular,rxjs",rxjs,871
348,"c#,wpf,xaml",c#,862
349,"c#,wpf,xaml",wpf,862
350,"c#,wpf,xaml",xaml,862
351,"java,android,android-fragments",java,337
352,"java,android,android-fragments",android,337
353,"java,android,android-fragments",android-fragments,337
354,"java,arraylist",java,674
355,"java,arraylist",arraylist,674
356,"angular,ionic-framework",angular,302
357,"angular,ionic-framework",ionic-framework,302
358,"bash,awk",bash,463
359,"bash,awk",awk,463
360,"java,javafx",java,1081
361,"java,javafx",javafx,1081
362,"javascript,jquery,css",javascript,1014
363,"javascript,jquery,css",jquery,1014
364,"javascript,jquery,css",css,1014
365,"css,sass",css,502
366,"css,sass",sass,502
367,"r,dplyr,tidyverse",r,378
368,"r,dplyr,tidyverse",dplyr,378
369,"r,dplyr,tidyverse",tidyverse,378
370,"vba,ms-access",vba,733
371,"vba,ms-access",ms-access,733
372,"docker,docker-compose",docker,910
373,"docker,docker-compose",docker-compose,910
374,"javascript,chart.js",javascript,415
375,"javascript,chart.js",chart.js,415
376,"javascript,reactjs,typescript",javascript,514
377,"javascript,reactjs,typescript",reactjs,514
378,"javascript,reactjs,typescript",typescript,514
379,"python,matplotlib,plot",python,355
380,"python,matplotlib,plot",matplotlib,355
381,"python,matplotlib,plot",plot,355
382,"angular,angular-reactive-forms",angular,311
383,"angular,angular-reactive-forms",angular-reactive-forms,311
384,"c,pointers",c,585
385,"c,pointers",pointers,585
386,"c#,linq",c#,2376
387,"c#,linq",linq,2376
388,"c#,winforms",c#,1656
389,"c#,winforms",winforms,1656
390,"css,bootstrap-4",css,446
391,"css,bootstrap-4",bootstrap-4,446
392,"ios,swift,firebase,firebase-realtime-database",ios,458
393,"ios,swift,firebase,firebase-realtime-database",swift,458
394,"ios,swift,firebase,firebase-realtime-database",firebase,458
395,"ios,swift,firebase,firebase-realtime-database",firebase-realtime-database,458
396,"c#,unity3d",c#,3422
397,"c#,unity3d",unity3d,3422
398,"css,flexbox",css,629
399,"css,flexbox",flexbox,629
400,"python,regex,python-3.x",python,601
401,"python,regex,python-3.x",regex,601
402,"python,regex,python-3.x",python-3.x,601
403,"c#,sql",c#,302
404,"c#,sql",sql,302
405,"sql,ms-access",sql,897
406,"sql,ms-access",ms-access,897
407,"c#,xml",c#,480
408,"c#,xml",xml,480
409,"c#,entity-framework,linq",c#,386
410,"c#,entity-framework,linq",entity-framework,386
411,"c#,entity-framework,linq",linq,386
412,"javascript,firebase,google-cloud-firestore",javascript,436
413,"javascript,firebase,google-cloud-firestore",firebase,436
414,"javascript,firebase,google-cloud-firestore",google-cloud-firestore,436
415,"javascript,php,ajax",javascript,393
416,"javascript,php,ajax",php,393
417,"javascript,php,ajax",ajax,393
418,"python,numpy",python,3456
419,"python,numpy",numpy,3456
420,"reactjs,redux",reactjs,814
421,"reactjs,redux",redux,814
422,"reactjs,redux,react-redux",reactjs,756
423,"reactjs,redux,react-redux",redux,756
424,"reactjs,redux,react-redux",react-redux,756
425,"mysql,database",mysql,457
426,"mysql,database",database,457
427,"html,angular,typescript",html,446
428,"html,angular,typescript",angular,446
429,"html,angular,typescript",typescript,446
430,"javascript,node.js",javascript,3255
431,"javascript,node.js",node.js,3255
432,"react-native,react-navigation",react-native,554
433,"react-native,react-navigation",react-navigation,554
434,"mongodb,aggregation-framework",mongodb,662
