,Original_Tags,Tags,YearTagCount
0,"android,xml",android,651
1,"android,xml",xml,651
2,"php,html",php,3392
3,"php,html",html,3392
4,"python,tkinter",python,892
5,"python,tkinter",tkinter,892
6,"shell,unix",shell,305
7,"shell,unix",unix,305
8,"php,jquery,ajax",php,1316
9,"php,jquery,ajax",jquery,1316
10,"php,jquery,ajax",ajax,1316
11,"javascript,node.js,express",javascript,483
12,"javascript,node.js,express",node.js,483
13,"javascript,node.js,express",express,483
14,"windows,batch-file",windows,596
15,"windows,batch-file",batch-file,596
16,"android,facebook",android,599
17,"android,facebook",facebook,599
18,"php,javascript",php,1514
19,"php,javascript",javascript,1514
20,"python,python-2.7",python,2359
21,"python,python-2.7",python-2.7,2359
22,"ruby,regex",ruby,1019
23,"ruby,regex",regex,1019
24,"python,arrays,numpy",python,618
25,"python,arrays,numpy",arrays,618
26,"python,arrays,numpy",numpy,618
27,"jquery,json",jquery,814
28,"jquery,json",json,814
29,"angularjs,angularjs-directive",angularjs,1176
30,"angularjs,angularjs-directive",angularjs-directive,1176
31,"php,multidimensional-array",php,343
32,"php,multidimensional-array",multidimensional-array,343
33,"python,flask",python,439
34,"python,flask",flask,439
35,"c#,list",c#,456
36,"c#,list",list,456
37,"c#,sql-server",c#,495
38,"c#,sql-server",sql-server,495
39,"java,android,json",java,413
40,"java,android,json",android,413
41,"java,android,json",json,413
42,"laravel,laravel-4",laravel,569
43,"laravel,laravel-4",laravel-4,569
44,"objective-c,cocoa",objective-c,753
45,"objective-c,cocoa",cocoa,753
46,"c#,asp.net-mvc-3",c#,583
47,"c#,asp.net-mvc-3",asp.net-mvc-3,583
48,"c#,regex",c#,2528
49,"c#,regex",regex,2528
50,"scala,sbt",scala,419
51,"scala,sbt",sbt,419
52,"xml,xslt",xml,1845
53,"xml,xslt",xslt,1845
54,"android,android-ndk",android,349
55,"android,android-ndk",android-ndk,349
56,"c++,winapi",c++,603
57,"c++,winapi",winapi,603
58,"java,hibernate,jpa",java,440
59,"java,hibernate,jpa",hibernate,440
60,"java,hibernate,jpa",jpa,440
61,"javascript,google-chrome-extension",javascript,457
62,"javascript,google-chrome-extension",google-chrome-extension,457
63,"sql,sql-server,sql-server-2008,tsql",sql,694
64,"sql,sql-server,sql-server-2008,tsql",sql-server,694
65,"sql,sql-server,sql-server-2008,tsql",sql-server-2008,694
66,"sql,sql-server,sql-server-2008,tsql",tsql,694
67,"php,mongodb",php,391
68,"php,mongodb",mongodb,391
69,"ruby-on-rails,heroku",ruby-on-rails,396
70,"ruby-on-rails,heroku",heroku,396
71,"android,sharedpreferences",android,441
72,"android,sharedpreferences",sharedpreferences,441
73,"java,string",java,1258
74,"java,string",string,1258
75,"c#,asp.net-mvc,asp.net-mvc-4",c#,412
76,"c#,asp.net-mvc,asp.net-mvc-4",asp.net-mvc,412
77,"c#,asp.net-mvc,asp.net-mvc-4",asp.net-mvc-4,412
78,"ios,uitableview",ios,1096
79,"ios,uitableview",uitableview,1096
80,"php,foreach",php,314
81,"php,foreach",foreach,314
82,"android,database,sqlite",android,498
83,"android,database,sqlite",database,498
84,"android,database,sqlite",sqlite,498
85,"angularjs,angularjs-directive,angularjs-scope",angularjs,373
86,"angularjs,angularjs-directive,angularjs-scope",angularjs-directive,373
87,"angularjs,angularjs-directive,angularjs-scope",angularjs-scope,373
88,"c#,windows-phone-8",c#,442
89,"c#,windows-phone-8",windows-phone-8,442
90,"c++,boost",c++,582
91,"c++,boost",boost,582
92,"php,mysql,database",php,919
93,"php,mysql,database",mysql,919
94,"php,mysql,database",database,919
95,"c#,asp.net-mvc",c#,1496
96,"c#,asp.net-mvc",asp.net-mvc,1496
97,"wordpress,wordpress-theming",wordpress,442
98,"wordpress,wordpress-theming",wordpress-theming,442
99,"android,google-play",android,691
100,"android,google-play",google-play,691
101,"apache,.htaccess,mod-rewrite",apache,744
102,"apache,.htaccess,mod-rewrite",.htaccess,744
103,"apache,.htaccess,mod-rewrite",mod-rewrite,744
104,"c#,linq,linq-to-sql",c#,330
105,"c#,linq,linq-to-sql",linq,330
